# ground truth trajectory
# timestamp tx ty tz qx qy qz qw
1548266530.56676 -0.172014 -1.28786 1.95182 -0.0656877 -0.00238973 0.0018355 0.997836
1548266530.60006 -0.167173 -1.29148 1.94792 -0.0628028 -0.00297571 0.00533519 0.998007
1548266530.63339 -0.161602 -1.29526 1.94426 -0.0600314 -0.000978532 0.00773046 0.998166
1548266530.66669 -0.155947 -1.29921 1.94115 -0.056357 0.000265045 0.0109969 0.99835
1548266530.70018 -0.150329 -1.3018 1.93862 -0.0595044 -0.0026861 0.0177549 0.998066
1548266530.73337 -0.143949 -1.30528 1.93683 -0.0566324 3.90212e-05 0.0233715 0.998122
1548266530.76644 -0.137515 -1.30887 1.93574 -0.0554272 0.00355818 0.0225492 0.998202
1548266530.79973 -0.131754 -1.31175 1.93513 -0.0585302 0.00348992 0.0218729 0.99804
1548266530.83328 -0.126938 -1.31523 1.93497 -0.0580444 0.00272726 0.0265815 0.997956
1548266530.86649 -0.122848 -1.31933 1.93512 -0.057444 0.00410526 0.0305911 0.997872
1548266530.89993 -0.119632 -1.32363 1.93529 -0.0587763 0.00162196 0.029977 0.99782
1548266530.93321 -0.117185 -1.32813 1.93554 -0.0573178 0.00147433 0.0332915 0.9978
1548266530.96615 -0.115285 -1.3328 1.93594 -0.055427 0.00125516 0.0357075 0.997823
1548266530.99987 -0.114062 -1.33709 1.9361 -0.0558511 -0.00142636 0.0373303 0.99774
1548266531.03320 -0.112971 -1.34155 1.93594 -0.0539693 -0.00162479 0.0372446 0.997846
1548266531.06655 -0.11276 -1.34514 1.93523 -0.053668 -0.00313627 0.036069 0.997902
1548266531.09989 -0.112795 -1.34866 1.9345 -0.0535091 -0.00339672 0.0394225 0.997783
1548266531.13312 -0.112828 -1.3521 1.93404 -0.0549507 -0.0044254 0.0360653 0.997828
1548266531.16620 -0.112643 -1.35642 1.93438 -0.0523062 -0.00268098 0.0333385 0.998071
1548266531.20014 -0.113328 -1.36019 1.93575 -0.0526835 -0.00464195 0.0338515 0.998027
1548266531.23320 -0.114492 -1.36417 1.93822 -0.0525603 -0.00509455 0.0365333 0.997936
1548266531.26677 -0.11546 -1.36808 1.94177 -0.0526998 -0.00693817 0.0320302 0.998073
1548266531.29977 -0.116626 -1.37195 1.9464 -0.0518345 -0.00690388 0.0291179 0.998207
1548266531.33320 -0.118821 -1.37459 1.95194 -0.0530721 -0.00985618 0.0295771 0.998104
1548266531.36667 -0.122114 -1.37597 1.95821 -0.0571396 -0.0139026 0.0299336 0.99782
1548266531.40020 -0.125607 -1.37694 1.96517 -0.0585632 -0.0183785 0.0284892 0.997708
1548266531.43322 -0.129984 -1.37683 1.97227 -0.06317 -0.0230499 0.0298783 0.997289
