# ground truth trajectory
# timestamp tx ty tz qx qy qz qw
1548266633.52830 0.143035 -1.97059 1.37352 -0.00660049 -0.0133889 0.390277 0.920576
1548266633.56190 0.142167 -1.9705 1.3759 -0.0102267 -0.0125273 0.389231 0.920998
1548266633.59526 0.140768 -1.97034 1.37909 -0.00981931 -0.0143902 0.390637 0.92038
1548266633.62859 0.14019 -1.9702 1.38223 -0.0102025 -0.0161234 0.390958 0.920211
1548266633.66180 0.139578 -1.96985 1.3861 -0.0109045 -0.0157631 0.389693 0.920745
1548266633.69534 0.139362 -1.96975 1.38983 -0.0124485 -0.0180964 0.3903 0.920426
1548266633.72859 0.139131 -1.97009 1.39442 -0.0122003 -0.0215601 0.391234 0.919958
1548266633.76201 0.138694 -1.97029 1.39982 -0.00966136 -0.0206467 0.392007 0.91968
1548266633.79516 0.138306 -1.97049 1.4053 -0.0136285 -0.0247444 0.3896 0.920551
1548266633.82881 0.137882 -1.97134 1.41182 -0.011307 -0.0284612 0.39033 0.920165
1548266633.86199 0.137632 -1.97202 1.41864 -0.0133964 -0.0325558 0.388911 0.920602
1548266633.89540 0.137136 -1.97305 1.4263 -0.0102143 -0.0374453 0.391446 0.919382
1548266633.92868 0.136566 -1.97384 1.43446 -0.0107006 -0.0406514 0.390866 0.919487
1548266633.96177 0.136794 -1.97475 1.44263 -0.0138011 -0.0402778 0.382947 0.922789
1548266633.99511 0.136828 -1.97552 1.45148 -0.0166519 -0.0434959 0.376134 0.925394
1548266634.02836 0.136369 -1.97613 1.46044 -0.0167202 -0.0456976 0.379748 0.923809
1548266634.06188 0.136267 -1.97702 1.46965 -0.0189343 -0.045252 0.371755 0.927034
1548266634.09515 0.136992 -1.9776 1.47854 -0.0217613 -0.0439794 0.367441 0.928752
1548266634.12808 0.136794 -1.97784 1.48792 -0.0218562 -0.0470194 0.372215 0.926697
1548266634.16180 0.137124 -1.97846 1.49712 -0.0219291 -0.0435454 0.369223 0.928061
1548266634.19505 0.137722 -1.97827 1.50589 -0.0280266 -0.0434608 0.364078 0.929932
1548266634.22853 0.137651 -1.97773 1.51534 -0.0287965 -0.0424707 0.365844 0.92926
1548266634.26188 0.137224 -1.97729 1.52509 -0.0294408 -0.0386572 0.361561 0.931081
1548266634.29505 0.13726 -1.97684 1.53413 -0.0326589 -0.0358481 0.358883 0.932122
1548266634.32838 0.136198 -1.9761 1.54359 -0.0340125 -0.034621 0.355581 0.933385
1548266634.36178 0.135564 -1.97579 1.55191 -0.0398199 -0.0360704 0.351933 0.934482
1548266634.39545 0.13448 -1.97561 1.56089 -0.0399296 -0.0343308 0.348328 0.935892
1548266634.42853 0.133411 -1.97606 1.56939 -0.0405045 -0.0369465 0.347557 0.936055
1548266634.46203 0.132499 -1.97632 1.57775 -0.039487 -0.0367063 0.345766 0.936771
1548266634.49532 0.132062 -1.97705 1.58595 -0.03836 -0.0364515 0.345834 0.936802
1548266634.52868 0.131054 -1.97892 1.59491 -0.0333697 -0.0387561 0.348505 0.935911
1548266634.56195 0.13021 -1.97908 1.60357 -0.0353544 -0.0364346 0.342533 0.938133
1548266634.59518 0.129753 -1.9808 1.61213 -0.0346954 -0.0354357 0.337556 0.939998
1548266634.62875 0.1286 -1.98262 1.62092 -0.0351653 -0.037815 0.334234 0.941074
1548266634.66195 0.12677 -1.98441 1.63 -0.0323385 -0.0366049 0.332024 0.942005
1548266634.69527 0.124853 -1.98641 1.63887 -0.0320632 -0.0385732 0.325988 0.944042
1548266634.72864 0.121462 -1.98828 1.64845 -0.0310781 -0.0408505 0.322216 0.945274
1548266634.76177 0.118117 -1.98991 1.65773 -0.0313036 -0.0429861 0.317521 0.946759
1548266634.79510 0.114316 -1.99136 1.66686 -0.0348941 -0.0457707 0.310169 0.948938
1548266634.82842 0.109019 -1.99206 1.67641 -0.0376069 -0.0489685 0.306403 0.949897
1548266634.86184 0.104103 -1.99279 1.68588 -0.042299 -0.0517409 0.300526 0.95143
1548266634.89516 0.0991531 -1.99234 1.69501 -0.0471548 -0.0552285 0.296127 0.952384
1548266634.92809 0.0961295 -1.9923 1.70369 -0.0518069 -0.0562627 0.291455 0.953522
1548266634.96131 0.094322 -1.99243 1.71161 -0.053858 -0.0548858 0.292569 0.953148
1548266634.99518 0.0926763 -1.99219 1.71876 -0.0588533 -0.0566262 0.289769 0.953606
1548266635.02837 0.0925735 -1.99347 1.72546 -0.0560803 -0.0532001 0.290905 0.953624
1548266635.06170 0.0915849 -1.99406 1.73142 -0.0596574 -0.0542598 0.287137 0.954489
1548266635.09499 0.0902647 -1.99549 1.73665 -0.0621999 -0.0593505 0.287466 0.953925
1548266635.12846 0.0884125 -1.99722 1.7423 -0.0639062 -0.0589188 0.282545 0.955308
1548266635.16185 0.0868013 -1.99988 1.74815 -0.0625194 -0.059669 0.275396 0.957438
1548266635.19519 0.0851416 -2.00188 1.75359 -0.0660659 -0.0613174 0.271633 0.958171
1548266635.22869 0.0839166 -2.00442 1.75831 -0.0714413 -0.0647638 0.270456 0.957891
1548266635.26205 0.0821625 -2.00796 1.76348 -0.0707251 -0.0633328 0.263299 0.960032
1548266635.29537 0.0815944 -2.01152 1.76789 -0.0718503 -0.0652622 0.258393 0.961151
1548266635.32861 0.0807617 -2.01499 1.77262 -0.0746362 -0.0668097 0.255827 0.961519
1548266635.36170 0.0800269 -2.01903 1.77741 -0.0765381 -0.0678713 0.248788 0.963141
1548266635.39512 0.0791333 -2.02404 1.78214 -0.0765278 -0.067915 0.238557 0.965723
1548266635.42834 0.0795744 -2.02862 1.78575 -0.0837403 -0.0736126 0.230729 0.966609
1548266635.46184 0.0808684 -2.03515 1.79056 -0.0783772 -0.0675001 0.231813 0.967245
1548266635.49534 0.0824193 -2.0422 1.79378 -0.0827277 -0.0680171 0.224518 0.968567
1548266635.52856 0.0836675 -2.05027 1.79691 -0.0817031 -0.0659657 0.217341 0.970431
1548266635.56170 0.0858005 -2.05859 1.79849 -0.0843392 -0.068833 0.21473 0.970587
1548266635.59490 0.0884459 -2.06839 1.80016 -0.0812756 -0.0666866 0.208437 0.972369
