# ground truth trajectory
# timestamp tx ty tz qx qy qz qw
1548266677.42642 0.258574 -2.24795 1.54191 -0.0866319 -0.116287 0.291352 0.945561
1548266677.46012 0.262503 -2.25349 1.53264 -0.0842223 -0.113217 0.28739 0.947362
1548266677.49352 0.266553 -2.25871 1.52326 -0.0821671 -0.111851 0.287128 0.947785
1548266677.52684 0.270454 -2.26423 1.51408 -0.0802758 -0.109732 0.285691 0.948628
1548266677.56019 0.274658 -2.2696 1.50485 -0.078256 -0.104121 0.2795 0.95127
1548266677.59359 0.278076 -2.27487 1.49578 -0.0771216 -0.101791 0.279037 0.951751
1548266677.62696 0.280982 -2.27982 1.48686 -0.0748591 -0.100118 0.280538 0.951667
1548266677.66046 0.283096 -2.28453 1.47825 -0.0753575 -0.0957748 0.275334 0.953593
1548266677.69344 0.28486 -2.2892 1.46956 -0.0751779 -0.0935954 0.272654 0.954593
1548266677.72687 0.285884 -2.2937 1.4609 -0.0758484 -0.0920637 0.273986 0.954308
1548266677.76030 0.285953 -2.2979 1.45208 -0.0766091 -0.0906083 0.27036 0.95542
1548266677.79349 0.285064 -2.30215 1.44339 -0.0792042 -0.0887181 0.267804 0.956105
1548266677.82661 0.283602 -2.30609 1.43474 -0.0805308 -0.0897451 0.267312 0.956036
1548266677.86033 0.28182 -2.3099 1.42598 -0.0827766 -0.0888944 0.267566 0.955853
1548266677.89358 0.279334 -2.31364 1.41717 -0.0863531 -0.0877682 0.26114 0.957416
1548266677.92701 0.276863 -2.31725 1.40815 -0.0895212 -0.0871741 0.259624 0.957592
1548266677.96030 0.274899 -2.32071 1.39874 -0.0955301 -0.0868291 0.256002 0.958018
1548266677.99349 0.273508 -2.32456 1.38984 -0.0991304 -0.0817641 0.251109 0.959392
1548266678.02653 0.272374 -2.32838 1.3815 -0.101669 -0.0779535 0.249427 0.959882
1548266678.06017 0.271826 -2.33213 1.37361 -0.102125 -0.0721755 0.24854 0.960515
1548266678.09347 0.271236 -2.33601 1.3666 -0.101571 -0.0663649 0.248335 0.961046
1548266678.12658 0.270187 -2.33984 1.36021 -0.100549 -0.0608796 0.248244 0.96154
1548266678.16001 0.269122 -2.34438 1.3541 -0.0991078 -0.0549277 0.242877 0.963417
1548266678.19360 0.266287 -2.34858 1.34862 -0.0981435 -0.0495051 0.235237 0.965702
1548266678.22672 0.262281 -2.35289 1.34352 -0.0972213 -0.0455264 0.227747 0.967784
1548266678.26014 0.256649 -2.35712 1.33903 -0.0957062 -0.0427105 0.21927 0.970019
1548266678.29336 0.249215 -2.36112 1.33541 -0.0933707 -0.0426378 0.21404 0.971417
1548266678.32684 0.24082 -2.36468 1.33216 -0.0916015 -0.0443194 0.205318 0.973391
1548266678.35994 0.231025 -2.36752 1.3298 -0.0916446 -0.0441279 0.199311 0.974643
1548266678.39350 0.221248 -2.36994 1.32775 -0.0898927 -0.0464885 0.190048 0.976545
1548266678.42669 0.210883 -2.37189 1.32651 -0.0921227 -0.0457711 0.182333 0.977841
1548266678.46030 0.200572 -2.37349 1.32612 -0.0908673 -0.0465245 0.175055 0.979252
1548266678.49363 0.189992 -2.37441 1.32665 -0.0921842 -0.047105 0.167913 0.980351
1548266678.52677 0.179023 -2.37454 1.32797 -0.0946989 -0.0473481 0.156415 0.982
1548266678.56027 0.167611 -2.37382 1.33005 -0.097756 -0.0465568 0.149625 0.982796
1548266678.59356 0.155776 -2.37226 1.33293 -0.0992856 -0.0464252 0.142152 0.983758
1548266678.62682 0.143808 -2.36993 1.3363 -0.0991277 -0.0460441 0.129926 0.985481
1548266678.66037 0.131626 -2.3669 1.34017 -0.103538 -0.0459074 0.117934 0.986541
1548266678.69359 0.118815 -2.36291 1.34411 -0.108231 -0.0455992 0.1094 0.987035
1548266678.72672 0.105803 -2.35858 1.3489 -0.111406 -0.0452903 0.101606 0.987529
1548266678.76012 0.0928343 -2.35348 1.35366 -0.111161 -0.0471783 0.0904262 0.988555
1548266678.79334 0.0801739 -2.3481 1.3585 -0.123018 -0.0465171 0.0850064 0.987662
1548266678.82672 0.068018 -2.34315 1.36365 -0.127463 -0.0454018 0.0760197 0.987883
