# ground truth trajectory
# timestamp tx ty tz qx qy qz qw
1548339819.89427 -0.194787 -1.44487 1.46988 0.163205 0.0885024 -0.227926 -0.955814
1548339819.92774 -0.196181 -1.44612 1.472 0.168959 0.091733 -0.222022 -0.9559
1548339819.96090 -0.197549 -1.44784 1.47475 0.168213 0.0925814 -0.219399 -0.956555
1548339819.99440 -0.199086 -1.44937 1.47725 0.168189 0.0923689 -0.219129 -0.956641
1548339820.02753 -0.200813 -1.45126 1.48018 0.167415 0.0938898 -0.215851 -0.957374
1548339820.06118 -0.202679 -1.45322 1.48273 0.166556 0.0933788 -0.214074 -0.957973
1548339820.09440 -0.204636 -1.45544 1.48522 0.166795 0.0935525 -0.210846 -0.95863
1548339820.12772 -0.206544 -1.4578 1.48754 0.165416 0.0935935 -0.206636 -0.959781
1548339820.16119 -0.208225 -1.46019 1.48988 0.164636 0.0916268 -0.202555 -0.960974
1548339820.19427 -0.21018 -1.46221 1.49144 0.166155 0.0901348 -0.19914 -0.961567
1548339820.22780 -0.212247 -1.46421 1.49286 0.164295 0.0874642 -0.196499 -0.962676
1548339820.26132 -0.214331 -1.4658 1.49367 0.166776 0.0861132 -0.191818 -0.963315
1548339820.29456 -0.216434 -1.46732 1.49406 0.168494 0.0840119 -0.188467 -0.963863
1548339820.32753 -0.219215 -1.46888 1.49494 0.162075 0.0808371 -0.187532 -0.965416
1548339820.36118 -0.220861 -1.46981 1.49402 0.168236 0.0812981 -0.180507 -0.965663
1548339820.39456 -0.2231 -1.47101 1.49316 0.171933 0.0797709 -0.175636 -0.966037
1548339820.42799 -0.224956 -1.47268 1.49247 0.16903 0.0778713 -0.17209 -0.967342
1548339820.46153 -0.226683 -1.47489 1.49138 0.167956 0.0733257 -0.169387 -0.96836
1548339820.49463 -0.228899 -1.4764 1.48938 0.170511 0.0740872 -0.159789 -0.969487
1548339820.52804 -0.230726 -1.47873 1.48798 0.168498 0.070418 -0.158378 -0.970343
1548339820.56131 -0.232904 -1.48059 1.48612 0.168512 0.0714292 -0.150823 -0.97147
1548339820.59456 -0.234664 -1.48301 1.48415 0.168296 0.0658869 -0.149792 -0.972059
1548339820.62790 -0.236873 -1.4851 1.48229 0.167324 0.0668856 -0.140935 -0.973481
1548339820.66092 -0.23924 -1.48715 1.48051 0.167356 0.0648448 -0.135513 -0.974383
1548339820.69451 -0.241495 -1.48904 1.47884 0.167891 0.0648826 -0.130352 -0.974993
1548339820.72771 -0.243716 -1.49112 1.47713 0.166612 0.0633574 -0.126095 -0.975872
1548339820.76116 -0.24557 -1.4932 1.47501 0.165797 0.0610592 -0.120986 -0.976804
1548339820.79438 -0.247364 -1.49549 1.47324 0.164765 0.0573917 -0.121167 -0.977178
1548339820.82768 -0.248885 -1.49723 1.47099 0.164793 0.0592368 -0.115162 -0.977789
