# ground truth trajectory
# timestamp tx ty tz qx qy qz qw
1548339892.26121 -0.576859 -1.45194 1.54543 0.160714 0.0617905 -0.00383051 -0.985058
1548339892.29459 -0.574346 -1.45262 1.54313 0.158535 0.0616407 -0.00775755 -0.985397
1548339892.32787 -0.57185 -1.45316 1.54089 0.157914 0.0611799 -0.0135738 -0.985462
1548339892.36135 -0.56965 -1.45309 1.53889 0.154532 0.0607238 -0.017724 -0.985961
1548339892.39470 -0.567445 -1.45234 1.5366 0.156533 0.0615525 -0.0201722 -0.985546
1548339892.42777 -0.565515 -1.4522 1.5348 0.156589 0.0622826 -0.0255265 -0.985368
1548339892.46105 -0.563673 -1.45137 1.533 0.157595 0.0640024 -0.0287169 -0.985009
1548339892.49463 -0.561698 -1.45072 1.53128 0.156974 0.064094 -0.0327871 -0.984975
1548339892.52794 -0.55926 -1.45 1.52933 0.155768 0.0651499 -0.0342382 -0.985048
1548339892.56130 -0.556791 -1.44953 1.52758 0.154736 0.0646903 -0.0385374 -0.985082
1548339892.59447 -0.553999 -1.44897 1.52572 0.155382 0.064514 -0.0428761 -0.984813
1548339892.62774 -0.55157 -1.44832 1.52399 0.154888 0.0637284 -0.0455249 -0.984823
1548339892.66108 -0.549204 -1.44768 1.52258 0.155073 0.0636177 -0.0491526 -0.984626
1548339892.69440 -0.546968 -1.44732 1.52161 0.153913 0.0635831 -0.0512988 -0.984701
1548339892.72777 -0.545131 -1.44689 1.52094 0.153254 0.0641496 -0.0544086 -0.9846
1548339892.76096 -0.543833 -1.44639 1.52084 0.155128 0.0657447 -0.055841 -0.984121
1548339892.79434 -0.542924 -1.44554 1.52092 0.155912 0.0666574 -0.0585965 -0.983776
1548339892.82791 -0.542078 -1.44479 1.52155 0.154679 0.0689823 -0.0625988 -0.983563
1548339892.86115 -0.54105 -1.44418 1.52255 0.153214 0.0710397 -0.064487 -0.983524
1548339892.89440 -0.539909 -1.44338 1.52416 0.154954 0.0730252 -0.0670316 -0.982936
1548339892.92774 -0.538445 -1.44216 1.52556 0.15693 0.0750341 -0.0732929 -0.982024
1548339892.96104 -0.536322 -1.44137 1.52734 0.157972 0.0755094 -0.0777198 -0.98148
