# ground truth trajectory
# timestamp tx ty tz qx qy qz qw
1548265478.15296 0.594024 -1.46763 1.62201 -0.091255 -0.0890195 0.0277777 0.991452
1548265478.18648 0.593054 -1.46778 1.62436 -0.0908206 -0.0897244 0.0274677 0.991437
1548265478.21983 0.591873 -1.46865 1.6269 -0.0917986 -0.0898386 0.0238597 0.99143
1548265478.25316 0.590681 -1.47036 1.63036 -0.0900813 -0.088622 0.0199355 0.991783
1548265478.28653 0.588706 -1.47204 1.63422 -0.0928536 -0.0897862 0.0147009 0.991514
1548265478.32013 0.586386 -1.47455 1.63905 -0.0916076 -0.0875655 0.0102313 0.991885
1548265478.35308 0.584206 -1.47762 1.64438 -0.0886689 -0.0841041 0.00506897 0.992491
1548265478.38664 0.582881 -1.48105 1.65013 -0.0856761 -0.0851671 -0.000445802 0.992676
1548265478.41984 0.582182 -1.48395 1.65604 -0.0873188 -0.0846427 -0.00406083 0.99257
1548265478.45329 0.580595 -1.48753 1.66183 -0.0838534 -0.0876643 -0.00501039 0.992602
1548265478.48634 0.581336 -1.49147 1.66765 -0.0821365 -0.0842475 -0.00402818 0.993046
1548265478.51963 0.582988 -1.49595 1.6739 -0.0791517 -0.0796653 -0.00897306 0.993634
1548265478.55330 0.583712 -1.49954 1.68045 -0.0771822 -0.0731414 -0.0106967 0.994273
1548265478.58663 0.583361 -1.50151 1.68717 -0.0775725 -0.0741844 -0.012778 0.994141
1548265478.61971 0.582783 -1.50284 1.69423 -0.078166 -0.0713834 -0.0152833 0.994264
1548265478.65297 0.581768 -1.50364 1.70168 -0.0803041 -0.0715881 -0.0183634 0.994027
1548265478.68640 0.579428 -1.50372 1.70981 -0.0782278 -0.0730066 -0.0180431 0.994095
1548265478.71974 0.576666 -1.50238 1.71729 -0.0821149 -0.0731874 -0.0185387 0.993759
1548265478.75293 0.57352 -1.50125 1.72488 -0.0838148 -0.0760782 -0.0192453 0.993387
1548265478.78637 0.570335 -1.49966 1.73201 -0.0858407 -0.0753081 -0.0212832 0.993231
1548265478.81971 0.567313 -1.49832 1.73915 -0.087597 -0.0775687 -0.0222907 0.992881
1548265478.85308 0.564353 -1.49767 1.74592 -0.0881953 -0.0789204 -0.0158534 0.992845
1548265478.88620 0.561812 -1.49703 1.75276 -0.0930735 -0.0825083 -0.021081 0.992011
1548265478.91934 0.558977 -1.49704 1.75955 -0.0938471 -0.0825185 -0.0219184 0.991919
1548265478.95288 0.556243 -1.49801 1.76664 -0.0928128 -0.0865038 -0.0154044 0.991799
1548265478.98642 0.553357 -1.49914 1.77389 -0.0919686 -0.0864571 -0.0111941 0.991938
1548265479.01926 0.550209 -1.50048 1.78109 -0.09441 -0.09212 -0.0161133 0.991131
1548265479.05319 0.5473 -1.50274 1.78864 -0.092512 -0.0903082 -0.0174739 0.991454
1548265479.08639 0.546081 -1.50522 1.79592 -0.0912438 -0.0883513 -0.0125662 0.991822
1548265479.11983 0.545593 -1.50707 1.80286 -0.0910887 -0.0908058 -0.00994727 0.991644
1548265479.15318 0.544647 -1.5095 1.80971 -0.0923197 -0.0868954 -0.0139284 0.991833
1548265479.18648 0.542858 -1.51324 1.81705 -0.0907477 -0.0911194 -0.0129315 0.991612
1548265479.21986 0.541653 -1.51813 1.82542 -0.0871189 -0.0859996 -0.0113777 0.992414
1548265479.25327 0.54091 -1.52439 1.8342 -0.0851567 -0.0839367 -0.0196011 0.992632
1548265479.28667 0.539309 -1.53028 1.84332 -0.0811999 -0.0838184 -0.0161822 0.993035
1548265479.31983 0.537398 -1.53474 1.85202 -0.0809359 -0.0836966 -0.0140084 0.9931
1548265479.35308 0.534759 -1.53934 1.86061 -0.0765229 -0.0853119 -0.0180376 0.993248
1548265479.38634 0.53082 -1.54158 1.8676 -0.0768862 -0.0876954 -0.0118978 0.993104
1548265479.41964 0.526329 -1.54317 1.87394 -0.0762687 -0.0898541 -0.0088787 0.992991
1548265479.45295 0.520235 -1.54505 1.87982 -0.0780616 -0.0927118 -0.0109551 0.992568
1548265479.48623 0.513575 -1.54721 1.88566 -0.0784811 -0.0953524 -0.0197298 0.992149
1548265479.51925 0.505881 -1.54929 1.89124 -0.0793364 -0.101979 -0.0196968 0.991422
1548265479.55316 0.498901 -1.55233 1.89717 -0.0777878 -0.107488 -0.0142544 0.991056
1548265479.58629 0.494283 -1.55491 1.90351 -0.0784992 -0.109485 -0.0180425 0.99072
1548265479.61982 0.49122 -1.55748 1.9104 -0.0788772 -0.112372 -0.0126547 0.99045
1548265479.65299 0.489592 -1.55927 1.9168 -0.0819439 -0.114447 -0.0144647 0.989938
1548265479.68640 0.490061 -1.56069 1.92312 -0.083377 -0.111153 -0.0190875 0.990116
1548265479.71957 0.49148 -1.5622 1.92913 -0.0845526 -0.110555 -0.012856 0.990183
1548265479.75295 0.494056 -1.56468 1.93442 -0.0887631 -0.109701 -0.0115107 0.989926
1548265479.78646 0.497474 -1.56952 1.93924 -0.0865826 -0.104835 -0.0175421 0.990558
1548265479.81974 0.500366 -1.57541 1.9433 -0.0864552 -0.104791 -0.0160254 0.9906
1548265479.85313 0.503487 -1.58147 1.94636 -0.0871793 -0.104691 -0.0127713 0.990594
1548265479.88633 0.506209 -1.58868 1.94833 -0.0855502 -0.106223 -0.0142526 0.990553
1548265479.91976 0.508425 -1.59575 1.94949 -0.0871369 -0.106518 -0.0121777 0.990411
1548265479.95320 0.51072 -1.60221 1.94964 -0.0866096 -0.104291 -0.0137383 0.990673
1548265479.98658 0.512634 -1.60839 1.94905 -0.0883955 -0.105343 -0.0141102 0.990399
1548265480.01928 0.514426 -1.61357 1.94804 -0.0876462 -0.105635 -0.0149044 0.990423
1548265480.05329 0.515522 -1.61827 1.94666 -0.0906825 -0.109059 -0.0158712 0.989763
1548265480.08650 0.516148 -1.62285 1.94441 -0.0929685 -0.111572 -0.0170922 0.98925
1548265480.11984 0.516966 -1.62758 1.94136 -0.0930231 -0.113493 -0.014873 0.989063
1548265480.15310 0.518057 -1.63284 1.93794 -0.0946011 -0.115746 -0.0171795 0.988614
1548265480.18651 0.520351 -1.63918 1.93499 -0.0936983 -0.116559 -0.0193764 0.988564
1548265480.21988 0.523595 -1.64567 1.93201 -0.0923578 -0.118351 -0.0199991 0.988465
1548265480.25294 0.528263 -1.6528 1.92925 -0.0907161 -0.117556 -0.0225249 0.988658
1548265480.28629 0.534216 -1.65968 1.92649 -0.0895683 -0.116234 -0.0233245 0.9889
1548265480.31981 0.541088 -1.66677 1.92422 -0.0864083 -0.113409 -0.0211613 0.989558
1548265480.35295 0.548062 -1.67317 1.92124 -0.0874983 -0.110783 -0.0230256 0.989718
1548265480.38633 0.555047 -1.67974 1.91785 -0.0847825 -0.108264 -0.0263046 0.990151
1548265480.41984 0.56116 -1.68512 1.91398 -0.0826719 -0.107073 -0.0242582 0.990511
1548265480.45305 0.566627 -1.68935 1.90935 -0.083663 -0.105653 -0.0287151 0.990461
1548265480.48628 0.571163 -1.69381 1.90448 -0.0812974 -0.105588 -0.0285149 0.990671
1548265480.51956 0.57526 -1.69781 1.89941 -0.0822918 -0.106291 -0.0286206 0.990511
1548265480.55296 0.579965 -1.70232 1.89501 -0.0817815 -0.102632 -0.0308154 0.990873
1548265480.58631 0.584081 -1.70789 1.89096 -0.0814151 -0.102547 -0.0328791 0.990845
1548265480.61978 0.588181 -1.71385 1.88828 -0.086262 -0.0980139 -0.0312224 0.990948
1548265480.65321 0.592837 -1.72064 1.88592 -0.0793863 -0.0979545 -0.0367457 0.991339
1548265480.68659 0.597515 -1.72834 1.8846 -0.0763442 -0.0947095 -0.0382852 0.991835
1548265480.71983 0.602293 -1.73567 1.88376 -0.0840228 -0.0887882 -0.0349269 0.991886
1548265480.75318 0.606584 -1.74354 1.88191 -0.0724112 -0.091727 -0.0367708 0.992467
1548265480.78668 0.610559 -1.75056 1.87905 -0.0894752 -0.0851049 -0.031312 0.991852
1548265480.82006 0.614976 -1.75906 1.87519 -0.0721354 -0.0887633 -0.0353635 0.992808
1548265480.85328 0.618742 -1.76671 1.87047 -0.071006 -0.0868758 -0.0349994 0.993069
1548265480.88658 0.622401 -1.77433 1.86515 -0.0839717 -0.0798444 -0.0321214 0.992745
1548265480.91987 0.625988 -1.78259 1.85873 -0.0716354 -0.0821611 -0.0360906 0.993386
1548265480.95320 0.628927 -1.7906 1.85153 -0.0658157 -0.084112 -0.0362429 0.99362
1548265480.98664 0.631803 -1.79891 1.84478 -0.0669943 -0.0799576 -0.0354599 0.993912
1548265481.01943 0.634549 -1.80751 1.83754 -0.0558493 -0.0800859 -0.0416852 0.994349
1548265481.05291 0.63653 -1.81508 1.83037 -0.0561927 -0.080152 -0.0390828 0.99443
1548265481.08635 0.638501 -1.82283 1.82351 -0.0535547 -0.0809763 -0.036932 0.994591
1548265481.11951 0.640782 -1.83026 1.8169 -0.0515929 -0.0796645 -0.0391035 0.994717
1548265481.15309 0.642567 -1.83725 1.81059 -0.049511 -0.0794134 -0.0374026 0.994909
1548265481.18634 0.64451 -1.84365 1.80452 -0.0496003 -0.0786503 -0.0348894 0.995056
1548265481.21976 0.646707 -1.85014 1.79911 -0.0479261 -0.0771357 -0.0349334 0.995255
1548265481.25310 0.648279 -1.85657 1.79435 -0.0447074 -0.0742632 -0.0327736 0.995697
1548265481.28648 0.649557 -1.8621 1.78971 -0.0475374 -0.0737107 -0.0325528 0.995614
1548265481.31973 0.650369 -1.8678 1.78592 -0.0444907 -0.0713374 -0.0319445 0.995947
1548265481.35261 0.649996 -1.87259 1.78196 -0.0478264 -0.0722224 -0.0304978 0.995774
1548265481.38639 0.649068 -1.87754 1.77843 -0.0486206 -0.0709032 -0.0292836 0.995867
1548265481.41970 0.647861 -1.88236 1.77473 -0.0500138 -0.0700179 -0.0296464 0.99585
1548265481.45289 0.646074 -1.88711 1.77111 -0.049765 -0.0704452 -0.0289183 0.995854
1548265481.48620 0.644471 -1.89211 1.76723 -0.0476031 -0.0682075 -0.0301322 0.996079
1548265481.51939 0.642174 -1.89694 1.76253 -0.0491216 -0.068456 -0.030539 0.995976
1548265481.55304 0.639329 -1.90172 1.75736 -0.051721 -0.0673022 -0.0337313 0.99582
1548265481.58651 0.636244 -1.9067 1.75201 -0.0493639 -0.0672413 -0.0355392 0.995881
1548265481.61968 0.632872 -1.9114 1.74595 -0.0485612 -0.0671963 -0.033873 0.995982
1548265481.65314 0.629756 -1.91596 1.73908 -0.0487579 -0.0676327 -0.0388274 0.995762
1548265481.68643 0.627363 -1.92029 1.73161 -0.0472902 -0.0662387 -0.0415815 0.995815
1548265481.71979 0.625289 -1.92421 1.72384 -0.0448513 -0.0636539 -0.0415165 0.996099
1548265481.75299 0.623678 -1.92872 1.71543 -0.0428145 -0.0613564 -0.0422962 0.9963
1548265481.78657 0.622531 -1.93325 1.70658 -0.0382933 -0.0601644 -0.0430146 0.996526
1548265481.81969 0.621597 -1.93668 1.69682 -0.0386284 -0.0602044 -0.0433802 0.996495
1548265481.85280 0.620564 -1.93963 1.68705 -0.0348836 -0.0597663 -0.0408622 0.996765
1548265481.88616 0.620031 -1.94203 1.6771 -0.0321083 -0.0578216 -0.0387254 0.997059
1548265481.91966 0.620001 -1.94417 1.66737 -0.0281822 -0.05526 -0.0423818 0.997174
1548265481.95293 0.619224 -1.94523 1.6581 -0.025435 -0.0534928 -0.0408289 0.997409
1548265481.98627 0.618461 -1.94568 1.64946 -0.0230508 -0.0521746 -0.038913 0.997613
1548265482.01929 0.617313 -1.94525 1.64135 -0.0219558 -0.0531786 -0.0379005 0.997624
1548265482.05301 0.615988 -1.94395 1.63391 -0.0195563 -0.053608 -0.0344844 0.997775
1548265482.08635 0.614625 -1.94171 1.62678 -0.0202006 -0.0525463 -0.0326146 0.997881
1548265482.11974 0.612729 -1.93899 1.62003 -0.0211732 -0.0532751 -0.0312218 0.997867
1548265482.15305 0.61115 -1.9362 1.61336 -0.0221488 -0.052446 -0.0313567 0.997886
1548265482.18655 0.609333 -1.93349 1.60678 -0.0223893 -0.0519233 -0.0327328 0.997863
1548265482.21969 0.607315 -1.93082 1.60007 -0.0224093 -0.0516134 -0.0324861 0.997887
1548265482.25324 0.604975 -1.92846 1.59304 -0.0220211 -0.0516603 -0.0330519 0.997875
1548265482.28647 0.60226 -1.92697 1.58571 -0.0318638 -0.0435333 -0.0365046 0.997876
1548265482.31969 0.600823 -1.92531 1.57766 -0.0229836 -0.0453487 -0.0414086 0.997848
1548265482.35312 0.59923 -1.92412 1.56902 -0.0217606 -0.0422665 -0.0448315 0.997863
1548265482.38631 0.596916 -1.92218 1.56025 -0.0216806 -0.0417179 -0.0410825 0.998049
1548265482.41957 0.594443 -1.92014 1.55134 -0.0228345 -0.0424981 -0.0419806 0.997953
1548265482.45323 0.592153 -1.91873 1.54224 -0.0242983 -0.0367286 -0.0506769 0.997744
1548265482.48649 0.589205 -1.91776 1.53368 -0.0224976 -0.0379967 -0.0520031 0.99767
1548265482.51967 0.585612 -1.91778 1.52591 -0.0208555 -0.0392924 -0.0498568 0.997765
1548265482.55325 0.582521 -1.91834 1.51976 -0.0195109 -0.0397137 -0.052826 0.997623
1548265482.58662 0.579076 -1.91959 1.5154 -0.017382 -0.042625 -0.0529309 0.997537
1548265482.61986 0.575544 -1.92153 1.51304 -0.0164973 -0.0450434 -0.0555585 0.997302
1548265482.65271 0.571353 -1.92359 1.51348 -0.0127829 -0.0495321 -0.0530605 0.99728
1548265482.68637 0.567376 -1.92543 1.51601 -0.012649 -0.0541686 -0.0535524 0.997015
1548265482.71965 0.564168 -1.92656 1.52039 -0.0156288 -0.0576496 -0.056647 0.996606
1548265482.75290 0.561772 -1.92746 1.52662 -0.0146151 -0.0631193 -0.053559 0.996461
1548265482.78621 0.560877 -1.92762 1.53387 -0.0175543 -0.0675121 -0.0492186 0.996349
1548265482.81981 0.561819 -1.92787 1.54181 -0.0195605 -0.0674575 -0.0464365 0.996449
1548265482.85295 0.563231 -1.92762 1.55008 -0.0219913 -0.0665022 -0.0415189 0.996679
1548265482.88627 0.565213 -1.92667 1.55865 -0.0265709 -0.0686624 -0.037019 0.996599
1548265482.91972 0.56679 -1.92569 1.56743 -0.0301036 -0.0685162 -0.0318254 0.996688
1548265482.95286 0.568346 -1.92498 1.57605 -0.0327337 -0.0688225 -0.0307824 0.996616
1548265482.98643 0.569705 -1.92404 1.58452 -0.0381548 -0.070642 -0.025439 0.996447
1548265483.01950 0.571179 -1.92415 1.59336 -0.05093 -0.0662778 -0.0161853 0.996369
1548265483.05331 0.572132 -1.92389 1.6013 -0.0518555 -0.0664434 -0.0248686 0.996131
1548265483.08653 0.574089 -1.92344 1.60966 -0.0467869 -0.071731 -0.0180219 0.996163
1548265483.11996 0.575733 -1.9235 1.6185 -0.0473894 -0.0749778 -0.0125283 0.99598
1548265483.15324 0.578312 -1.92396 1.62755 -0.0509344 -0.0719232 -0.0145442 0.996003
1548265483.18666 0.58059 -1.92401 1.6369 -0.0552409 -0.0720809 -0.0144739 0.995763
1548265483.21993 0.582777 -1.92378 1.64676 -0.05972 -0.0702374 -0.0120408 0.995668
1548265483.25333 0.584771 -1.92423 1.6572 -0.070536 -0.0648304 -0.00783463 0.995369
1548265483.28662 0.585961 -1.92341 1.66721 -0.0761216 -0.0645573 -0.0116735 0.994938
1548265483.31996 0.586574 -1.92296 1.67743 -0.0775225 -0.0638908 -0.0130964 0.994855
1548265483.35308 0.58624 -1.92086 1.68725 -0.0775253 -0.0653161 -0.0211651 0.994623
1548265483.38616 0.585369 -1.91984 1.69755 -0.0797307 -0.0665956 -0.0290808 0.994164
1548265483.42002 0.583368 -1.91784 1.70743 -0.0875178 -0.0676931 -0.029987 0.993408
1548265483.45303 0.580825 -1.9151 1.7168 -0.0942568 -0.0694641 -0.0322854 0.992597
1548265483.48641 0.57829 -1.91285 1.7263 -0.0976984 -0.0690349 -0.0372256 0.992121
1548265483.51968 0.575459 -1.9101 1.73526 -0.102773 -0.0694538 -0.0476671 0.991132
1548265483.55298 0.572482 -1.90708 1.74393 -0.110655 -0.0701226 -0.0536507 0.989929
1548265483.58593 0.569486 -1.90483 1.75276 -0.110605 -0.0668007 -0.0673926 0.989324
