# ground truth trajectory
# timestamp tx ty tz qx qy qz qw
1548265575.08767 0.365103 -1.52322 1.34827 -0.110397 -0.0203741 0.241094 0.963987
1548265575.12067 0.364398 -1.52473 1.35391 -0.111579 -0.0224164 0.239317 0.964248
1548265575.15425 0.363774 -1.52635 1.35965 -0.113267 -0.022365 0.233552 0.965466
1548265575.18728 0.363109 -1.52831 1.36554 -0.114192 -0.021032 0.230276 0.966173
1548265575.22063 0.362129 -1.53068 1.37199 -0.11464 -0.0229225 0.229045 0.96637
1548265575.25442 0.361188 -1.53349 1.37841 -0.114082 -0.0215319 0.224862 0.96745
1548265575.28745 0.360312 -1.53705 1.38517 -0.11175 -0.0217127 0.219733 0.968895
1548265575.32094 0.35864 -1.5413 1.3919 -0.110634 -0.0221303 0.218148 0.969372
1548265575.35399 0.357274 -1.54479 1.39911 -0.109358 -0.0267949 0.214127 0.970295
1548265575.38765 0.35571 -1.54957 1.40597 -0.107191 -0.0260822 0.208598 0.97176
1548265575.42059 0.353949 -1.5534 1.41352 -0.102331 -0.0298357 0.211513 0.971546
1548265575.45399 0.352445 -1.55806 1.42107 -0.0998772 -0.0322093 0.208154 0.97245
1548265575.48740 0.350353 -1.56236 1.42858 -0.0999939 -0.0313757 0.208294 0.972435
1548265575.52081 0.34841 -1.56692 1.43602 -0.0981788 -0.0349244 0.206022 0.972983
1548265575.55405 0.346285 -1.57113 1.44333 -0.0986256 -0.0348575 0.201113 0.973967
1548265575.58728 0.344117 -1.5757 1.45067 -0.095618 -0.0359654 0.196541 0.975159
1548265575.62074 0.341667 -1.57934 1.45783 -0.0987134 -0.0365226 0.196086 0.974921
1548265575.65390 0.339094 -1.58297 1.46519 -0.098495 -0.0381745 0.195177 0.975063
1548265575.68752 0.336444 -1.58595 1.47196 -0.0967419 -0.0400007 0.192435 0.97571
1548265575.72075 0.333543 -1.58937 1.47908 -0.098457 -0.0404236 0.194569 0.975098
1548265575.75425 0.331032 -1.59252 1.48604 -0.0962928 -0.0397094 0.195825 0.975092
1548265575.78749 0.328636 -1.5957 1.49258 -0.0991855 -0.0380813 0.191406 0.975744
1548265575.82083 0.325855 -1.59908 1.49912 -0.101276 -0.038802 0.192334 0.975318
1548265575.85429 0.323176 -1.60276 1.50589 -0.0971947 -0.0388748 0.190906 0.976011
1548265575.88772 0.320751 -1.60684 1.51251 -0.0989481 -0.0369382 0.190542 0.975981
1548265575.92104 0.317838 -1.61058 1.51882 -0.0989356 -0.0355736 0.191943 0.975758
1548265575.95382 0.315108 -1.61502 1.52495 -0.0986799 -0.0366337 0.19171 0.975791
1548265575.98763 0.312589 -1.62018 1.53108 -0.0966458 -0.0341951 0.192409 0.975945
1548265576.02057 0.310254 -1.62538 1.53647 -0.0936684 -0.0401711 0.192315 0.976026
1548265576.05417 0.308136 -1.63078 1.54247 -0.0909551 -0.0388505 0.190685 0.976656
1548265576.08759 0.30618 -1.63609 1.54777 -0.0880677 -0.0381614 0.194131 0.976269
1548265576.12082 0.30477 -1.64226 1.55332 -0.0879928 -0.0383754 0.191207 0.976844
1548265576.15426 0.30316 -1.64809 1.55886 -0.084673 -0.0423756 0.19237 0.976744
1548265576.18765 0.302159 -1.65393 1.56416 -0.0828412 -0.0449083 0.191199 0.977018
1548265576.22129 0.30189 -1.6596 1.56894 -0.0814911 -0.0443154 0.188819 0.977621
1548265576.25404 0.302003 -1.66521 1.57316 -0.0825268 -0.0441511 0.190335 0.977248
1548265576.28752 0.30258 -1.67108 1.57721 -0.0791648 -0.0461952 0.188116 0.977861
1548265576.32067 0.304001 -1.67731 1.5807 -0.078938 -0.0430282 0.191407 0.977385
1548265576.35401 0.305543 -1.68306 1.58339 -0.0831366 -0.0459237 0.182436 0.97862
1548265576.38751 0.308358 -1.68965 1.58578 -0.0790318 -0.0466917 0.182915 0.978834
1548265576.42079 0.310094 -1.69611 1.58866 -0.0808574 -0.04587 0.179388 0.979376
1548265576.45407 0.312326 -1.70287 1.5912 -0.0806578 -0.0430545 0.174421 0.980417
1548265576.48736 0.314901 -1.70916 1.59369 -0.081373 -0.0420084 0.172096 0.980814
1548265576.52049 0.317465 -1.7154 1.59644 -0.0816083 -0.0412746 0.169364 0.981301
1548265576.55432 0.3199 -1.72117 1.59954 -0.0832261 -0.0446346 0.161691 0.982312
1548265576.58744 0.322035 -1.72669 1.60249 -0.0894483 -0.0426421 0.159757 0.98217
1548265576.62052 0.324292 -1.73282 1.60586 -0.0897991 -0.044425 0.153903 0.982994
1548265576.65411 0.326985 -1.73961 1.60922 -0.0941378 -0.0442844 0.145279 0.983906
1548265576.68759 0.329672 -1.74647 1.61177 -0.0971541 -0.0426071 0.138955 0.9846
1548265576.72077 0.332605 -1.75307 1.61391 -0.0967151 -0.0428695 0.136318 0.985
1548265576.75432 0.336186 -1.76008 1.61568 -0.0992206 -0.0428018 0.129756 0.98564
1548265576.78749 0.340526 -1.76752 1.61678 -0.0935037 -0.0415768 0.120327 0.987446
1548265576.82085 0.34465 -1.77395 1.61706 -0.0986017 -0.0408822 0.119309 0.987103
1548265576.85417 0.348903 -1.78042 1.61696 -0.0935258 -0.0387381 0.111972 0.988542
1548265576.88751 0.35294 -1.78632 1.6164 -0.0919732 -0.0377086 0.104686 0.989525
1548265576.92083 0.356443 -1.79136 1.61546 -0.0929364 -0.0366093 0.100095 0.989951
1548265576.95434 0.359934 -1.79628 1.61395 -0.0943576 -0.0348531 0.0942595 0.990453
1548265576.98764 0.363512 -1.80109 1.61179 -0.0963874 -0.031669 0.0875053 0.990984
1548265577.02091 0.36733 -1.80632 1.60933 -0.0952257 -0.0275445 0.0835331 0.991562
1548265577.05378 0.37145 -1.8118 1.60629 -0.0959151 -0.0269565 0.0776281 0.991992
1548265577.08744 0.375435 -1.8181 1.60335 -0.113992 -0.0132986 0.0769947 0.990404
1548265577.12085 0.378077 -1.82363 1.59916 -0.0955475 -0.0201131 0.0589637 0.993473
1548265577.15408 0.380257 -1.82935 1.59494 -0.0961507 -0.0165425 0.0545993 0.993731
1548265577.18726 0.381859 -1.83501 1.59049 -0.0950064 -0.0160976 0.0451751 0.994321
1548265577.22073 0.382844 -1.84041 1.58581 -0.0934086 -0.0146902 0.0387132 0.994767
1548265577.25410 0.383509 -1.84542 1.58109 -0.091768 -0.0116759 0.0339119 0.995134
1548265577.28729 0.384379 -1.85043 1.57596 -0.0917789 -0.00979439 0.0262704 0.995385
1548265577.32062 0.385132 -1.85533 1.57095 -0.0894287 -0.00599089 0.0210583 0.995753
1548265577.35394 0.385335 -1.85973 1.56589 -0.090549 -0.0042215 0.0166622 0.995744
1548265577.38727 0.385562 -1.86381 1.56155 -0.0863917 0.000100174 0.0113008 0.996197
1548265577.42081 0.385232 -1.86645 1.55698 -0.0901035 0.00159981 0.00919231 0.995889
1548265577.45416 0.384986 -1.86919 1.5532 -0.0866274 0.0036669 0.00251006 0.996231
1548265577.48751 0.384461 -1.87079 1.54927 -0.0857297 0.00410837 -0.00217062 0.996308
