# ground truth trajectory
# timestamp tx ty tz qx qy qz qw
1548266187.16307 0.127122 -1.71587 1.43522 -0.0289297 -0.0802945 0.393063 0.915542
1548266187.19649 0.126346 -1.71501 1.43148 -0.0287276 -0.0794545 0.390797 0.916591
1548266187.22968 0.125823 -1.71412 1.427 -0.029451 -0.077175 0.388537 0.917723
1548266187.26302 0.125477 -1.71373 1.42216 -0.029533 -0.0763518 0.3837 0.919822
1548266187.29605 0.124616 -1.71298 1.41667 -0.0304164 -0.0761865 0.380149 0.92128
1548266187.32963 0.1236 -1.71252 1.41136 -0.0305089 -0.076895 0.381012 0.920862
1548266187.36289 0.122854 -1.71265 1.40614 -0.0298471 -0.0764325 0.37575 0.923081
1548266187.39607 0.122201 -1.71301 1.40096 -0.0306443 -0.074065 0.368474 0.926176
1548266187.42963 0.121158 -1.71367 1.39602 -0.0323166 -0.0732576 0.35931 0.929777
1548266187.46242 0.11998 -1.7151 1.39104 -0.0316798 -0.0742639 0.35642 0.930831
1548266187.49614 0.118618 -1.71692 1.38574 -0.0314569 -0.0748104 0.353151 0.93204
1548266187.52930 0.117324 -1.71955 1.38129 -0.0334747 -0.0774304 0.344067 0.935148
1548266187.56276 0.116284 -1.72265 1.37805 -0.0297762 -0.0748451 0.34078 0.936686
1548266187.59594 0.115107 -1.72578 1.37611 -0.0308111 -0.0764946 0.333507 0.939134
1548266187.62960 0.11411 -1.72874 1.37494 -0.0340807 -0.0770891 0.325423 0.941804
1548266187.66288 0.113087 -1.73153 1.37497 -0.0373501 -0.0747819 0.318889 0.944099
1548266187.69607 0.112001 -1.73448 1.37621 -0.0405194 -0.0747241 0.311761 0.946351
1548266187.72961 0.110304 -1.73693 1.37808 -0.0456864 -0.0732128 0.305114 0.948398
1548266187.76262 0.109098 -1.74018 1.38074 -0.0453822 -0.071628 0.2988 0.950541
1548266187.79608 0.10739 -1.74319 1.38341 -0.0478397 -0.0706538 0.299925 0.950139
1548266187.82938 0.105079 -1.74611 1.38684 -0.0509694 -0.0737255 0.290892 0.952549
1548266187.86278 0.103806 -1.74953 1.38996 -0.0558987 -0.07314 0.283126 0.954655
1548266187.89604 0.10311 -1.75348 1.39279 -0.0583381 -0.0717253 0.279225 0.955764
1548266187.92976 0.102501 -1.75764 1.3956 -0.0613166 -0.0739866 0.278532 0.955608
1548266187.96309 0.102798 -1.76291 1.39904 -0.0593037 -0.0742278 0.273607 0.957138
1548266187.99642 0.103566 -1.7689 1.40241 -0.0568902 -0.0737955 0.270521 0.958194
1548266188.02969 0.105019 -1.77526 1.40609 -0.0577358 -0.0736822 0.267226 0.959076
1548266188.06254 0.106522 -1.78142 1.41032 -0.0593308 -0.0731813 0.263807 0.959964
1548266188.09602 0.107814 -1.78796 1.41594 -0.0558357 -0.0738746 0.257324 0.961878
1548266188.12974 0.109045 -1.79457 1.42182 -0.0616384 -0.0718824 0.258071 0.961474
1548266188.16283 0.110426 -1.8013 1.42812 -0.0620926 -0.0749889 0.258513 0.961089
1548266188.19636 0.11135 -1.80852 1.43475 -0.0671273 -0.0761456 0.261078 0.959966
1548266188.22949 0.111958 -1.81594 1.44145 -0.0695206 -0.0800458 0.256714 0.960655
1548266188.26287 0.11264 -1.8242 1.4483 -0.0735948 -0.0824787 0.257272 0.959996
1548266188.29636 0.113277 -1.83304 1.45478 -0.07749 -0.0869154 0.259639 0.95866
1548266188.32955 0.11422 -1.84203 1.46157 -0.0808604 -0.0912075 0.257761 0.958489
1548266188.36281 0.115958 -1.85204 1.46863 -0.0809124 -0.0935461 0.260766 0.957446
1548266188.39619 0.117887 -1.8621 1.47543 -0.0859668 -0.0979554 0.260143 0.956734
1548266188.42931 0.1208 -1.87275 1.48228 -0.0819841 -0.0985248 0.264184 0.955917
1548266188.46287 0.12246 -1.88347 1.48886 -0.083538 -0.101036 0.260906 0.956421
1548266188.49615 0.123967 -1.89435 1.49561 -0.0834845 -0.105001 0.264644 0.954971
1548266188.52949 0.124628 -1.90457 1.50214 -0.0848692 -0.109223 0.264219 0.954493
1548266188.56264 0.125677 -1.91483 1.50859 -0.083999 -0.11159 0.263533 0.954485
1548266188.59580 0.126392 -1.92408 1.51484 -0.084837 -0.113858 0.263181 0.954241
1548266188.62949 0.126337 -1.9323 1.52112 -0.087421 -0.116374 0.265067 0.953181
1548266188.66296 0.126955 -1.94025 1.52714 -0.0883934 -0.120601 0.263538 0.95299
1548266188.69592 0.127439 -1.94735 1.53301 -0.0884298 -0.119976 0.262989 0.953217
1548266188.72911 0.127511 -1.95384 1.53853 -0.0909587 -0.121681 0.262727 0.952835
1548266188.76275 0.127768 -1.95974 1.54364 -0.0933493 -0.122285 0.263511 0.95231
1548266188.79617 0.128496 -1.96535 1.54859 -0.0929198 -0.1238 0.260698 0.95293
1548266188.82981 0.129163 -1.97032 1.55306 -0.0937609 -0.123171 0.260871 0.952882
1548266188.86279 0.130205 -1.97473 1.55738 -0.0966725 -0.123774 0.260398 0.952642
1548266188.89632 0.131319 -1.97878 1.56143 -0.0984315 -0.123447 0.260897 0.952368
1548266188.92977 0.133567 -1.98268 1.56546 -0.0966496 -0.121758 0.258049 0.953543
1548266188.96309 0.13641 -1.98621 1.56925 -0.100578 -0.121484 0.258758 0.952979
1548266188.99618 0.139038 -1.98964 1.57363 -0.099088 -0.120172 0.258678 0.953324
1548266189.02954 0.141835 -1.99283 1.5776 -0.10277 -0.118512 0.256039 0.953854
1548266189.06288 0.144847 -1.99678 1.58181 -0.101971 -0.118743 0.251978 0.954992
1548266189.09619 0.147858 -2.00024 1.58576 -0.103393 -0.118922 0.250884 0.955105
1548266189.12956 0.151353 -2.00413 1.58938 -0.104223 -0.120348 0.249426 0.955218
1548266189.16301 0.155008 -2.00799 1.59319 -0.103894 -0.119483 0.244408 0.956658
1548266189.19587 0.159215 -2.01214 1.59654 -0.106321 -0.119901 0.24349 0.956573
1548266189.22954 0.164033 -2.01679 1.59986 -0.106002 -0.121032 0.241517 0.956966
1548266189.26279 0.168431 -2.02107 1.60262 -0.109621 -0.119582 0.238044 0.957611
1548266189.29613 0.172523 -2.02574 1.60539 -0.109293 -0.11989 0.235355 0.958274
1548266189.32958 0.176478 -2.03036 1.60795 -0.108154 -0.119774 0.230815 0.959521
1548266189.36270 0.180831 -2.03532 1.61037 -0.108829 -0.120737 0.228458 0.959888
1548266189.39590 0.184292 -2.04002 1.61249 -0.11123 -0.119098 0.225315 0.960561
1548266189.42956 0.18793 -2.04484 1.61418 -0.113195 -0.1187 0.220588 0.961477
