# ground truth trajectory
# timestamp tx ty tz qx qy qz qw
1548265919.55875 1.0073 -1.49977 1.98549 -0.0592416 0.0380608 -0.00378134 0.997511
1548265919.59206 1.0055 -1.49454 1.9841 -0.0593243 0.0365066 -0.00878378 0.997532
1548265919.62545 1.00225 -1.48972 1.98352 -0.0569334 0.0339378 -0.0138667 0.997705
1548265919.65868 0.997805 -1.48383 1.98235 -0.0587983 0.0253097 -0.00597466 0.997931
1548265919.69210 0.993066 -1.47759 1.98057 -0.0604144 0.0220721 -0.0152519 0.997813
1548265919.72522 0.987124 -1.47188 1.9784 -0.0626907 0.0166906 -0.0173073 0.997743
1548265919.75879 0.981061 -1.46635 1.97606 -0.0627033 0.010455 -0.0206302 0.997764
1548265919.79222 0.976045 -1.4603 1.97331 -0.0681942 0.0087494 -0.0314447 0.997138
1548265919.82564 0.970466 -1.45505 1.97065 -0.0644524 0.00173352 -0.0328686 0.997378
1548265919.85839 0.96635 -1.45006 1.96783 -0.0689035 0.000288417 -0.0413243 0.996767
1548265919.89250 0.96329 -1.44624 1.96618 -0.0693775 0.00165 -0.0518161 0.996243
1548265919.92560 0.960511 -1.44309 1.96547 -0.0703969 -0.000860556 -0.0551487 0.995993
1548265919.95900 0.958553 -1.44046 1.96585 -0.0719578 -0.000411819 -0.0587863 0.995674
1548265919.99187 0.956974 -1.43878 1.96718 -0.0714553 -0.000790513 -0.0604535 0.99561
1548265920.02544 0.955493 -1.43758 1.96945 -0.070179 -0.00189322 -0.0629038 0.995547
1548265920.05910 0.954282 -1.43644 1.97228 -0.0704743 -0.00219433 -0.0665591 0.995288
1548265920.09225 0.952755 -1.43513 1.97536 -0.0722352 -0.00397031 -0.0727702 0.994721
1548265920.12564 0.951206 -1.43375 1.97888 -0.0730487 -0.00537064 -0.0751861 0.994476
1548265920.15904 0.949577 -1.43314 1.98251 -0.0714825 -0.00585887 -0.0774985 0.994409
1548265920.19232 0.947994 -1.43213 1.98616 -0.0731842 -0.00781267 -0.0809799 0.993995
1548265920.22558 0.946619 -1.43047 1.99033 -0.0754595 -0.00974396 -0.08486 0.993484
1548265920.25913 0.94515 -1.42932 1.99469 -0.0777979 -0.0111873 -0.0869228 0.99311
