# ground truth trajectory
# timestamp tx ty tz qx qy qz qw
1548265158.78337 0.526367 -2.1274 1.43437 -0.114627 -0.00748896 -0.0185735 0.993207
1548265158.81687 0.525462 -2.12561 1.43377 -0.115673 -0.00702864 -0.0179397 0.9931
1548265158.85009 0.52491 -2.12374 1.43279 -0.11643 -0.00647006 -0.0171968 0.993029
1548265158.88314 0.524734 -2.12179 1.43146 -0.116734 -0.00518776 -0.0158759 0.993023
1548265158.91694 0.524693 -2.11991 1.4301 -0.115786 -0.00416066 -0.0134222 0.993175
1548265158.95019 0.524828 -2.11843 1.42829 -0.113666 -0.00293047 -0.0111085 0.993453
1548265158.98356 0.525128 -2.1174 1.42601 -0.112397 0.000863015 -0.00962464 0.993616
1548265159.01709 0.524907 -2.1165 1.42375 -0.108741 0.0039414 -0.00710787 0.994037
1548265159.05044 0.524435 -2.1154 1.42066 -0.106839 0.0047699 -0.00874221 0.994226
1548265159.08353 0.523376 -2.11447 1.41711 -0.108301 0.00831305 -0.00597911 0.994065
1548265159.11715 0.522303 -2.11439 1.41369 -0.0998999 0.00925742 -0.00858043 0.994918
1548265159.15041 0.520457 -2.11379 1.40941 -0.105566 0.0130871 -0.0098009 0.994278
1548265159.18375 0.518979 -2.11395 1.40542 -0.101085 0.0151228 -0.0108629 0.994704
1548265159.21686 0.516964 -2.11393 1.40073 -0.0937433 0.0133852 -0.0150022 0.995393
1548265159.25028 0.515229 -2.11466 1.39591 -0.0906505 0.017091 -0.0195912 0.995543
1548265159.28378 0.513171 -2.11523 1.39118 -0.0917202 0.0198843 -0.0230803 0.995319
1548265159.31716 0.511266 -2.11638 1.38749 -0.0835914 0.0232518 -0.0287225 0.995815
1548265159.35035 0.508985 -2.11711 1.38376 -0.0811672 0.0263377 -0.0347023 0.995748
1548265159.38366 0.506422 -2.1177 1.3805 -0.0781899 0.0278412 -0.0374669 0.995845
1548265159.41693 0.503445 -2.11777 1.37718 -0.0803744 0.0265043 -0.0394125 0.995633
1548265159.45025 0.500855 -2.11827 1.37389 -0.0780085 0.0278054 -0.0449378 0.995551
1548265159.48346 0.498395 -2.1189 1.3707 -0.073303 0.0281239 -0.0504187 0.995637
1548265159.51683 0.495708 -2.11885 1.36702 -0.0756064 0.0284508 -0.0520908 0.99537
1548265159.55029 0.493055 -2.11892 1.36326 -0.0762249 0.0291028 -0.0579942 0.994977
