# ground truth trajectory
# timestamp tx ty tz qx qy qz qw
1548265208.08399 0.417711 -1.89276 1.35437 -0.177992 -0.0363267 -0.025418 0.983033
1548265208.11754 0.418324 -1.89364 1.35568 -0.179548 -0.0344087 -0.017689 0.982988
1548265208.15072 0.41981 -1.89529 1.35688 -0.172673 -0.0362443 -0.0180822 0.984146
1548265208.18386 0.421463 -1.89762 1.35758 -0.170116 -0.0322705 -0.0145264 0.984788
1548265208.21730 0.422762 -1.89993 1.35759 -0.168035 -0.0302275 -0.0121221 0.985243
1548265208.25064 0.423228 -1.90222 1.3574 -0.167083 -0.0291529 -0.00868974 0.985473
1548265208.28383 0.422916 -1.90432 1.35718 -0.158982 -0.0311632 -0.00635834 0.986769
1548265208.31735 0.421696 -1.90515 1.35642 -0.158052 -0.0339006 -0.00478323 0.986837
1548265208.35028 0.420295 -1.90581 1.3562 -0.154429 -0.0357892 -0.00722995 0.987329
1548265208.38380 0.418526 -1.90533 1.35609 -0.155155 -0.0389754 -0.00991646 0.987071
1548265208.41736 0.416904 -1.90302 1.35639 -0.157647 -0.0436019 -0.00585986 0.986515
1548265208.45042 0.416651 -1.90044 1.35725 -0.15379 -0.045512 0.000925899 0.987054
1548265208.48377 0.417546 -1.89628 1.35614 -0.163302 -0.047016 0.00976086 0.985407
1548265208.51722 0.420031 -1.89309 1.35461 -0.161507 -0.0455254 0.0169278 0.985676
1548265208.55055 0.422843 -1.89044 1.35234 -0.164586 -0.0439689 0.00834559 0.985347
1548265208.58384 0.42413 -1.88665 1.34816 -0.168082 -0.03908 0.0139101 0.9849
1548265208.61740 0.424664 -1.88408 1.34344 -0.160993 -0.0428341 0.0190506 0.985842
1548265208.65067 0.424387 -1.88243 1.33559 -0.161751 -0.0457891 0.0220886 0.985521
1548265208.68397 0.424524 -1.88218 1.32629 -0.152304 -0.0430625 0.0223111 0.987143
1548265208.71748 0.425047 -1.88297 1.31785 -0.14655 -0.0425621 0.0233633 0.988011
1548265208.75070 0.425393 -1.88402 1.31195 -0.138209 -0.0422526 0.0228131 0.989238
1548265208.78411 0.424651 -1.88369 1.30657 -0.131952 -0.0388661 0.0198087 0.990296
1548265208.81741 0.422147 -1.88125 1.30109 -0.136583 -0.0427596 0.0234328 0.989428
1548265208.85083 0.420824 -1.87843 1.29667 -0.135382 -0.0437693 0.0247717 0.989516
1548265208.88400 0.420426 -1.87575 1.29251 -0.129966 -0.0458859 0.0246456 0.990149
1548265208.91740 0.420402 -1.87271 1.28784 -0.134308 -0.0453426 0.0248215 0.989591
1548265208.95089 0.420901 -1.86983 1.28311 -0.135123 -0.0438123 0.0267344 0.989499
1548265208.98406 0.421457 -1.86793 1.27859 -0.131376 -0.0438654 0.0259536 0.990022
1548265209.01711 0.421957 -1.86612 1.27308 -0.131145 -0.0420537 0.0266888 0.990111
1548265209.05030 0.422304 -1.86502 1.26728 -0.126796 -0.0367633 0.0260719 0.990904
1548265209.08374 0.421968 -1.86369 1.26108 -0.128384 -0.0406971 0.0218874 0.990647
1548265209.11723 0.420836 -1.86239 1.25498 -0.125167 -0.0365955 0.0293425 0.991026
1548265209.15041 0.419546 -1.86132 1.24897 -0.121314 -0.0371512 0.0305778 0.991447
1548265209.18356 0.418367 -1.86051 1.24242 -0.119039 -0.0375931 0.0294134 0.991742
1548265209.21719 0.417874 -1.8603 1.2354 -0.11903 -0.039744 0.0249027 0.991782
1548265209.25052 0.417378 -1.85937 1.22679 -0.116702 -0.0349395 0.0305419 0.992082
1548265209.28384 0.417587 -1.8596 1.21753 -0.112533 -0.0329381 0.0339855 0.99252
1548265209.31724 0.418167 -1.86115 1.20722 -0.109763 -0.0281086 0.0352176 0.992936
1548265209.35014 0.419231 -1.86374 1.19636 -0.101169 -0.0244002 0.0281357 0.994172
1548265209.38362 0.420145 -1.86705 1.1861 -0.101294 -0.0169325 0.0279049 0.994321
1548265209.41736 0.421417 -1.87079 1.1766 -0.0986638 -0.00917633 0.0297768 0.994633
1548265209.45079 0.422447 -1.87454 1.16804 -0.0977426 -0.00520519 0.0322411 0.994676
1548265209.48388 0.423661 -1.87902 1.16093 -0.0960499 -2.21571e-05 0.033035 0.994828
1548265209.51756 0.42483 -1.88457 1.15488 -0.0939455 0.0041151 0.0330091 0.995021
1548265209.55081 0.42569 -1.89095 1.15022 -0.0951863 0.00828762 0.0267192 0.995066
1548265209.58399 0.426031 -1.89774 1.14808 -0.0931398 0.011257 0.019797 0.995393
1548265209.61745 0.425802 -1.9041 1.14809 -0.0958724 0.0105543 0.0139486 0.99524
1548265209.65078 0.425237 -1.91027 1.1507 -0.099338 0.0100128 0.0073885 0.994976
1548265209.68369 0.424675 -1.91656 1.15583 -0.100896 0.00784318 0.00241292 0.994863
1548265209.71726 0.424328 -1.92264 1.1629 -0.104477 0.00476155 -0.00270213 0.994512
1548265209.75077 0.423973 -1.92939 1.17196 -0.10327 0.000899823 -0.00908834 0.994612
1548265209.78406 0.423342 -1.93591 1.18189 -0.107458 -0.00325685 -0.0108599 0.994145
1548265209.81733 0.422816 -1.94262 1.19281 -0.110644 -0.00949378 -0.0138166 0.993719
1548265209.85027 0.42253 -1.94973 1.20456 -0.113568 -0.0135374 -0.0251932 0.993119
1548265209.88357 0.421466 -1.95624 1.21744 -0.115145 -0.0231894 -0.0258933 0.99274
1548265209.91702 0.420752 -1.96226 1.23063 -0.119006 -0.0278617 -0.0300207 0.992048
1548265209.95051 0.421015 -1.96898 1.24477 -0.12122 -0.027396 -0.0461859 0.991172
1548265209.98387 0.418842 -1.97524 1.26072 -0.153363 -0.0248592 -0.0580356 0.986151
1548265210.01716 0.421058 -1.97827 1.27437 -0.130914 -0.0374489 -0.0411748 0.98983
1548265210.05059 0.421739 -1.98251 1.28943 -0.132989 -0.036703 -0.049945 0.989178
1548265210.08377 0.422038 -1.98522 1.30388 -0.13786 -0.0399449 -0.049345 0.988415
1548265210.11722 0.422333 -1.9865 1.3177 -0.145821 -0.0424248 -0.0485738 0.987207
1548265210.15044 0.422856 -1.98735 1.33156 -0.151853 -0.0422257 -0.0543746 0.986003
1548265210.18351 0.422821 -1.98724 1.34485 -0.159938 -0.0418551 -0.0513443 0.984902
1548265210.21733 0.422538 -1.98706 1.35839 -0.161144 -0.0436601 -0.0519346 0.984596
1548265210.25073 0.422455 -1.98579 1.37018 -0.174589 -0.0405627 -0.0558444 0.982219
1548265210.28394 0.421819 -1.98496 1.38174 -0.181397 -0.04072 -0.0571685 0.980902
1548265210.31744 0.420804 -1.98462 1.39327 -0.187879 -0.0388838 -0.0628503 0.979408
1548265210.35031 0.419601 -1.98408 1.40381 -0.194718 -0.0342997 -0.0657162 0.978054
1548265210.38389 0.418088 -1.98486 1.41442 -0.196597 -0.0306848 -0.0709546 0.977432
1548265210.41736 0.415848 -1.9859 1.42499 -0.195982 -0.0278205 -0.0786509 0.977052
1548265210.45049 0.412874 -1.9869 1.43503 -0.194078 -0.0246524 -0.0839086 0.97708
1548265210.48399 0.409075 -1.98792 1.44494 -0.196481 -0.0214541 -0.0925532 0.975894
1548265210.51722 0.404025 -1.98726 1.45415 -0.200486 -0.0215962 -0.0987336 0.974469
1548265210.55065 0.398611 -1.98709 1.46347 -0.206833 -0.0198737 -0.105059 0.972516
1548265210.58394 0.392881 -1.98644 1.47226 -0.209103 -0.0200332 -0.112397 0.971206
1548265210.61713 0.386779 -1.98544 1.48044 -0.209565 -0.0234049 -0.118477 0.970308
1548265210.65033 0.380522 -1.98456 1.48829 -0.211431 -0.0252435 -0.124062 0.969159
1548265210.68374 0.374513 -1.98413 1.49572 -0.209378 -0.0264121 -0.129266 0.968893
1548265210.71699 0.368998 -1.98383 1.5016 -0.216222 -0.0255939 -0.134728 0.966665
1548265210.75027 0.363686 -1.98432 1.50654 -0.216458 -0.0246278 -0.141065 0.965733
1548265210.78358 0.358381 -1.98517 1.50996 -0.218533 -0.0241652 -0.144914 0.964707
1548265210.81692 0.35344 -1.98683 1.51275 -0.214628 -0.0218051 -0.151391 0.964645
1548265210.84986 0.348582 -1.98842 1.51451 -0.211358 -0.0200783 -0.155999 0.96467
1548265210.88358 0.344411 -1.99008 1.5155 -0.210301 -0.0173106 -0.160657 0.96419
1548265210.91710 0.340387 -1.99212 1.51709 -0.211549 -0.0131459 -0.16703 0.962899
1548265210.95047 0.336352 -1.99469 1.51961 -0.207249 -0.00868425 -0.170702 0.963241
1548265210.98376 0.332405 -1.99799 1.52377 -0.202825 -0.00851956 -0.172706 0.963827
