# ground truth trajectory
# timestamp tx ty tz qx qy qz qw
1548339465.46078 0.211333 -1.89285 1.40965 0.160608 0.100259 -0.280433 -0.941016
1548339465.49394 0.213736 -1.89106 1.40991 0.153013 0.101796 -0.288349 -0.939723
1548339465.52772 0.215963 -1.89014 1.41015 0.152735 0.104948 -0.299496 -0.935927
1548339465.56071 0.218289 -1.88827 1.41006 0.155599 0.108958 -0.295565 -0.936247
1548339465.59398 0.220727 -1.88738 1.41033 0.152008 0.107187 -0.302983 -0.934669
1548339465.62719 0.22253 -1.88504 1.40978 0.152818 0.111539 -0.301349 -0.934556
1548339465.66070 0.225021 -1.88436 1.40944 0.157532 0.111954 -0.300595 -0.933966
1548339465.69411 0.226867 -1.88319 1.40894 0.155577 0.11277 -0.304553 -0.932913
1548339465.72759 0.228645 -1.8816 1.40843 0.153074 0.112268 -0.309857 -0.93164
1548339465.76085 0.230027 -1.88005 1.408 0.151897 0.111611 -0.314381 -0.930395
1548339465.79418 0.231013 -1.87892 1.40757 0.153232 0.109614 -0.311147 -0.9315
1548339465.82784 0.231865 -1.87669 1.40658 0.15014 0.10796 -0.314733 -0.930992
1548339465.86110 0.232238 -1.87533 1.40551 0.147557 0.106906 -0.319843 -0.929784
1548339465.89433 0.232481 -1.87338 1.4046 0.143029 0.104625 -0.320828 -0.930412
1548339465.92770 0.231212 -1.87162 1.40312 0.149369 0.104491 -0.326503 -0.927451
1548339465.96090 0.231053 -1.8689 1.40164 0.146205 0.105786 -0.329583 -0.926719
1548339465.99416 0.229553 -1.86799 1.40049 0.147699 0.103556 -0.331959 -0.925886
1548339466.02789 0.229191 -1.86615 1.39911 0.143459 0.104043 -0.33547 -0.925232
1548339466.06096 0.227735 -1.86534 1.39816 0.150022 0.0993648 -0.334138 -0.925188
1548339466.09427 0.226756 -1.8633 1.39738 0.139645 0.101917 -0.345024 -0.922535
1548339466.12745 0.225509 -1.86077 1.39613 0.13851 0.1031 -0.346598 -0.921984
1548339466.16074 0.224596 -1.85932 1.39459 0.13643 0.107018 -0.348321 -0.921199
1548339466.19423 0.223407 -1.85858 1.39331 0.131982 0.104634 -0.349991 -0.921487
1548339466.22758 0.22232 -1.85812 1.3915 0.129998 0.10514 -0.354676 -0.919919
1548339466.26082 0.220475 -1.85702 1.38987 0.124725 0.106099 -0.356396 -0.919874
1548339466.29427 0.218938 -1.85769 1.38888 0.120238 0.103079 -0.359782 -0.919497
1548339466.32745 0.217355 -1.85718 1.38613 0.127907 0.103832 -0.35123 -0.921681
1548339466.36070 0.216672 -1.85688 1.3841 0.119628 0.106458 -0.361348 -0.918577
1548339466.39416 0.215017 -1.85719 1.38278 0.115006 0.104791 -0.360054 -0.919866
1548339466.42748 0.21342 -1.85641 1.38017 0.115041 0.107004 -0.359276 -0.919911
1548339466.46101 0.210875 -1.85625 1.3783 0.113812 0.107147 -0.359578 -0.919929
1548339466.49411 0.20911 -1.85597 1.37605 0.11027 0.108062 -0.363529 -0.9187
1548339466.52757 0.206908 -1.85525 1.37421 0.111057 0.106268 -0.360396 -0.920048
1548339466.56101 0.204969 -1.855 1.37238 0.108801 0.106749 -0.359284 -0.920696
1548339466.59400 0.202888 -1.85444 1.37022 0.108032 0.10616 -0.359357 -0.920827
1548339466.62759 0.201041 -1.85428 1.36787 0.107862 0.105278 -0.357024 -0.921855
1548339466.66090 0.199311 -1.85422 1.3651 0.106816 0.106779 -0.355244 -0.922492
1548339466.69409 0.19758 -1.85476 1.36261 0.101074 0.102125 -0.357121 -0.92294
1548339466.72768 0.195892 -1.85439 1.35956 0.104565 0.103822 -0.356302 -0.922679
1548339466.76091 0.193934 -1.85376 1.35727 0.103975 0.103195 -0.354278 -0.923595
1548339466.79441 0.192504 -1.85324 1.35469 0.102294 0.101803 -0.358433 -0.922333
1548339466.82759 0.191312 -1.85239 1.35213 0.10228 0.100243 -0.356288 -0.923336
1548339466.86111 0.190445 -1.85158 1.34905 0.101921 0.0978289 -0.357306 -0.923241
1548339466.89423 0.189097 -1.85004 1.34639 0.0986899 0.0984377 -0.359252 -0.922772
1548339466.92768 0.187673 -1.84918 1.34351 0.0985651 0.0963144 -0.363808 -0.921223
1548339466.96080 0.18572 -1.84755 1.34074 0.100044 0.0955579 -0.363771 -0.921157
1548339466.99414 0.183733 -1.84713 1.33821 0.0973804 0.0970893 -0.368922 -0.919232
1548339467.02758 0.181632 -1.84531 1.3354 0.0976412 0.0963984 -0.367397 -0.919887
1548339467.06075 0.180053 -1.84507 1.33247 0.0981722 0.097017 -0.365324 -0.920592
1548339467.09373 0.178545 -1.84529 1.32913 0.09496 0.0978627 -0.369606 -0.919129
1548339467.12759 0.17752 -1.84515 1.32548 0.0936591 0.0968013 -0.367342 -0.920281
1548339467.16082 0.176794 -1.84579 1.32159 0.0907786 0.0934484 -0.367121 -0.921004
1548339467.19426 0.176033 -1.84648 1.31803 0.0882111 0.0926612 -0.366584 -0.921547
1548339467.22746 0.175467 -1.84742 1.31452 0.0869797 0.0917264 -0.364568 -0.922557
1548339467.26096 0.175003 -1.84872 1.31126 0.082705 0.0918963 -0.365125 -0.922713
1548339467.29407 0.17426 -1.85002 1.30797 0.0822018 0.0908112 -0.363897 -0.92335
1548339467.32728 0.17263 -1.85142 1.30515 0.0788475 0.0910256 -0.364388 -0.923428
1548339467.36069 0.170927 -1.85327 1.30209 0.0768659 0.0908951 -0.364617 -0.923517
1548339467.39424 0.168823 -1.85487 1.2989 0.0776188 0.0923584 -0.362666 -0.924077
1548339467.42773 0.166886 -1.85659 1.29553 0.0770364 0.091734 -0.361786 -0.924533
1548339467.46097 0.164936 -1.85777 1.29206 0.0790249 0.0926266 -0.359006 -0.925359
1548339467.49438 0.16367 -1.85943 1.28891 0.0785696 0.0938798 -0.356797 -0.926126
1548339467.52769 0.163074 -1.86042 1.28539 0.0791558 0.0922372 -0.355185 -0.92686
1548339467.56102 0.162672 -1.86159 1.28231 0.0819803 0.091301 -0.352687 -0.927661
1548339467.59428 0.162709 -1.86286 1.27959 0.0804324 0.0877428 -0.351604 -0.928551
1548339467.62734 0.163056 -1.86404 1.27686 0.0826587 0.0852266 -0.347548 -0.930115
1548339467.66111 0.163727 -1.86571 1.27436 0.0803469 0.082641 -0.349611 -0.929778
1548339467.69428 0.164278 -1.86777 1.27223 0.0786451 0.0827335 -0.349465 -0.92997
1548339467.72779 0.164774 -1.87006 1.27075 0.0777973 0.0791625 -0.34574 -0.931743
1548339467.76100 0.165818 -1.87306 1.26973 0.0773567 0.0774284 -0.341796 -0.933379
1548339467.79417 0.166354 -1.8766 1.2704 0.0711897 0.0734865 -0.340641 -0.93461
1548339467.82743 0.166043 -1.87961 1.27129 0.0738677 0.0764299 -0.336326 -0.935728
1548339467.86074 0.165617 -1.88357 1.27348 0.0722564 0.0765938 -0.334388 -0.936534
1548339467.89410 0.164725 -1.88684 1.27593 0.0719704 0.0765933 -0.331712 -0.937508
1548339467.92741 0.163939 -1.88991 1.27847 0.0774365 0.0808919 -0.327984 -0.938023
1548339467.96088 0.163345 -1.89336 1.28187 0.0749934 0.0808005 -0.326704 -0.938676
1548339467.99401 0.163264 -1.8968 1.28516 0.0740344 0.0818609 -0.326409 -0.938762
1548339468.02749 0.162987 -1.89823 1.28747 0.0825918 0.089955 -0.320838 -0.939228
1548339468.06109 0.163636 -1.90027 1.2903 0.0837439 0.0880263 -0.321733 -0.939003
1548339468.09414 0.164128 -1.90158 1.29297 0.0860783 0.0879694 -0.319296 -0.939629
1548339468.12751 0.165575 -1.9037 1.29578 0.0832317 0.0870128 -0.320819 -0.939455
1548339468.16098 0.166886 -1.90485 1.29784 0.0882921 0.0914198 -0.320184 -0.938791
1548339468.19416 0.167867 -1.90578 1.30026 0.0903852 0.0903495 -0.318453 -0.939284
1548339468.22780 0.169583 -1.90735 1.30225 0.0903753 0.0886444 -0.320625 -0.938709
1548339468.26095 0.171299 -1.909 1.30444 0.0917608 0.0897625 -0.320062 -0.93866
1548339468.29424 0.173067 -1.91078 1.30677 0.0921493 0.0899959 -0.317765 -0.93938
1548339468.32762 0.175207 -1.91271 1.30888 0.0913114 0.0894239 -0.319903 -0.938791
1548339468.36109 0.176784 -1.9147 1.31155 0.0913251 0.0917452 -0.318766 -0.938952
1548339468.39422 0.179026 -1.91724 1.31429 0.0871474 0.0877944 -0.320021 -0.9393
1548339468.42766 0.18082 -1.91883 1.31645 0.0917138 0.0908702 -0.317084 -0.939569
1548339468.46095 0.182842 -1.92124 1.31945 0.0872923 0.0890726 -0.318649 -0.939632
1548339468.49436 0.184595 -1.92311 1.32184 0.0877063 0.0899836 -0.317792 -0.939797
1548339468.52787 0.186238 -1.92421 1.32364 0.0941656 0.0936461 -0.313484 -0.940261
1548339468.56090 0.188183 -1.92632 1.32636 0.0872137 0.089608 -0.317877 -0.93985
1548339468.59416 0.190035 -1.92773 1.32865 0.089244 0.0898577 -0.315859 -0.940316
1548339468.62758 0.191639 -1.92852 1.33088 0.0941531 0.0933773 -0.311725 -0.940874
1548339468.66072 0.193499 -1.92972 1.33339 0.0947236 0.092175 -0.313183 -0.940451
1548339468.69396 0.195803 -1.93134 1.33634 0.092976 0.0892973 -0.312944 -0.940982
1548339468.72748 0.197692 -1.93215 1.33876 0.0976689 0.0898324 -0.309336 -0.941649
1548339468.76049 0.199888 -1.93388 1.34175 0.0952573 0.089328 -0.309784 -0.941797
1548339468.79425 0.201895 -1.9349 1.34403 0.0978668 0.087274 -0.309274 -0.941889
1548339468.82723 0.204687 -1.93684 1.34649 0.097725 0.0840749 -0.308537 -0.942436
1548339468.86050 0.206691 -1.93797 1.34898 0.0996138 0.0839165 -0.304768 -0.943479
1548339468.89416 0.209215 -1.93977 1.35149 0.101129 0.0839373 -0.304992 -0.943243
1548339468.92761 0.21189 -1.94168 1.35403 0.101001 0.0840209 -0.303001 -0.943891
1548339468.96084 0.214924 -1.94368 1.35654 0.102503 0.084817 -0.29979 -0.944683
1548339468.99448 0.217779 -1.94579 1.35902 0.102194 0.0827634 -0.303465 -0.943724
1548339469.02777 0.22001 -1.94674 1.36149 0.105919 0.0848468 -0.296091 -0.945469
1548339469.06112 0.223138 -1.94822 1.3636 0.106454 0.0821122 -0.298362 -0.944937
1548339469.09441 0.225691 -1.94897 1.36578 0.109289 0.0834207 -0.294576 -0.945686
1548339469.12770 0.229339 -1.94989 1.36789 0.11179 0.08134 -0.2902 -0.946927
1548339469.16107 0.233012 -1.95077 1.36974 0.117668 0.0830735 -0.284292 -0.947856
1548339469.19452 0.237341 -1.95215 1.37164 0.119664 0.0803447 -0.284493 -0.947781
1548339469.22775 0.241728 -1.95407 1.37397 0.121784 0.0780228 -0.280107 -0.949011
