# ground truth trajectory
# timestamp tx ty tz qx qy qz qw
1548265286.61770 0.315971 -2.12211 1.36195 -0.222249 0.0102722 -0.298052 0.928259
1548265286.65111 0.312404 -2.12107 1.37178 -0.222789 0.00914003 -0.30634 0.925439
1548265286.68437 0.309141 -2.12056 1.38083 -0.221677 0.0121473 -0.316631 0.922202
1548265286.71772 0.305549 -2.11941 1.38924 -0.220422 0.0122773 -0.320297 0.921235
1548265286.75111 0.302714 -2.11713 1.39604 -0.206844 0.0194875 -0.311537 0.927244
1548265286.78451 0.298443 -2.11741 1.40419 -0.209825 0.0128267 -0.325906 0.921734
1548265286.81742 0.293795 -2.11798 1.41057 -0.211496 0.0117763 -0.339585 0.916413
1548265286.85109 0.289724 -2.1167 1.41655 -0.208066 0.011935 -0.343515 0.915731
1548265286.88462 0.286062 -2.11543 1.42213 -0.206116 0.0134571 -0.351491 0.913121
1548265286.91769 0.282509 -2.11372 1.42766 -0.201793 0.0127377 -0.353911 0.913162
1548265286.95110 0.279219 -2.11239 1.43228 -0.202578 0.0140821 -0.358651 0.911117
1548265286.98451 0.275954 -2.11017 1.43685 -0.200108 0.0136761 -0.368561 0.907707
1548265287.01800 0.272611 -2.10736 1.44151 -0.197753 0.013229 -0.371994 0.906829
1548265287.05138 0.270191 -2.10483 1.44593 -0.19895 0.017234 -0.37371 0.905794
1548265287.08434 0.267813 -2.1014 1.44991 -0.196729 0.0170725 -0.379361 0.903931
1548265287.11795 0.265404 -2.09815 1.45378 -0.194901 0.0191012 -0.384179 0.90225
1548265287.15119 0.263481 -2.09439 1.45764 -0.191025 0.0184981 -0.383181 0.903515
1548265287.18463 0.261876 -2.09109 1.46036 -0.187972 0.0244065 -0.384561 0.903429
1548265287.21802 0.26005 -2.08811 1.4626 -0.18493 0.0243847 -0.386115 0.903394
1548265287.25145 0.257944 -2.0851 1.46424 -0.187559 0.0216585 -0.384494 0.903613
1548265287.28468 0.255677 -2.08179 1.46427 -0.182912 0.0260191 -0.386933 0.90341
1548265287.31810 0.25322 -2.07897 1.46321 -0.180801 0.0255044 -0.393789 0.900883
1548265287.35120 0.250105 -2.07593 1.46092 -0.177988 0.0259662 -0.39713 0.899963
1548265287.38445 0.249036 -2.07272 1.4578 -0.180079 0.0256443 -0.398873 0.898785
1548265287.41802 0.247696 -2.06982 1.45341 -0.178288 0.0277304 -0.401581 0.897874
1548265287.45090 0.246885 -2.06782 1.44824 -0.175787 0.0283334 -0.399522 0.899266
1548265287.48427 0.246075 -2.06658 1.44243 -0.171396 0.0340099 -0.40034 0.899552
1548265287.51774 0.245361 -2.06469 1.43646 -0.169557 0.0372852 -0.401022 0.899468
1548265287.55114 0.244713 -2.0623 1.42992 -0.167083 0.0372197 -0.398437 0.901081
1548265287.58401 0.243791 -2.05988 1.42301 -0.165682 0.0389489 -0.401797 0.899773
1548265287.61765 0.243039 -2.05736 1.4159 -0.162804 0.0375444 -0.403121 0.899766
1548265287.65121 0.242868 -2.05363 1.40839 -0.163228 0.0384797 -0.399355 0.901328
1548265287.68443 0.242752 -2.05043 1.40098 -0.161263 0.0379477 -0.401378 0.900805
1548265287.71764 0.242932 -2.04737 1.39354 -0.160904 0.0410613 -0.400787 0.900996
1548265287.75114 0.243088 -2.04468 1.38697 -0.15681 0.0407177 -0.400342 0.901931
1548265287.78430 0.243574 -2.04117 1.38051 -0.155173 0.0448761 -0.399902 0.902212
1548265287.81802 0.243944 -2.03835 1.37423 -0.151071 0.0457361 -0.397277 0.904023
1548265287.85141 0.244682 -2.03485 1.36764 -0.149422 0.047538 -0.392898 0.906115
1548265287.88456 0.245049 -2.03183 1.36111 -0.145457 0.0486083 -0.391678 0.907231
1548265287.91802 0.245873 -2.02762 1.35449 -0.144467 0.0482884 -0.388212 0.908894
1548265287.95110 0.245784 -2.02339 1.34804 -0.142707 0.0474369 -0.38221 0.911757
1548265287.98457 0.245671 -2.01908 1.34136 -0.14251 0.0478991 -0.379706 0.912809
1548265288.01778 0.245603 -2.0144 1.3346 -0.142736 0.0473741 -0.378686 0.913225
1548265288.05131 0.245549 -2.01008 1.328 -0.142721 0.0485196 -0.377587 0.913622
1548265288.08462 0.245573 -2.00597 1.32141 -0.140916 0.0457057 -0.371934 0.916362
1548265288.11793 0.245621 -2.00267 1.31419 -0.141988 0.049368 -0.372483 0.915783
