# ground truth trajectory
# timestamp tx ty tz qx qy qz qw
1548265396.88570 0.628145 -1.57586 1.89928 -0.0948501 -0.0923482 -0.0182151 0.991032
1548265396.91904 0.627285 -1.57869 1.90403 -0.0939262 -0.0914034 -0.0208283 0.991156
1548265396.95221 0.626214 -1.58131 1.90843 -0.0984601 -0.0901538 -0.0207269 0.990832
1548265396.98564 0.6247 -1.5846 1.91229 -0.10589 -0.0868636 -0.0295088 0.990137
1548265397.01901 0.625132 -1.5853 1.9159 -0.104353 -0.0924418 -0.0236161 0.989953
1548265397.05185 0.624924 -1.5872 1.9189 -0.100739 -0.092092 -0.0297014 0.990196
1548265397.08548 0.625307 -1.58915 1.92137 -0.107785 -0.0892362 -0.0267692 0.989799
1548265397.11884 0.625268 -1.59087 1.9239 -0.101425 -0.0917223 -0.0279501 0.990212
1548265397.15211 0.62549 -1.59326 1.92608 -0.10439 -0.0913779 -0.0314797 0.989829
1548265397.18544 0.625929 -1.59582 1.92822 -0.102033 -0.0887468 -0.0327886 0.990272
1548265397.21873 0.626503 -1.59875 1.93031 -0.105953 -0.0878318 -0.0327831 0.989942
1548265397.25202 0.626849 -1.60132 1.93225 -0.100547 -0.0862555 -0.0325524 0.990652
1548265397.28553 0.627202 -1.60412 1.9338 -0.102571 -0.0847931 -0.0325541 0.99057
1548265397.31841 0.627931 -1.60726 1.93512 -0.1029 -0.0820972 -0.0343169 0.990704
1548265397.35208 0.628185 -1.60985 1.93585 -0.0993268 -0.0823774 -0.0390227 0.990871
1548265397.38550 0.627918 -1.61176 1.93616 -0.102508 -0.0831019 -0.0398229 0.990455
1548265397.41859 0.627349 -1.61321 1.93521 -0.102546 -0.0818844 -0.042595 0.990437
1548265397.45227 0.627212 -1.61442 1.93337 -0.104054 -0.0814615 -0.04648 0.99014
1548265397.48570 0.626941 -1.61537 1.93008 -0.106609 -0.0813505 -0.0457444 0.989911
1548265397.51886 0.627169 -1.61712 1.92601 -0.102867 -0.079698 -0.0469659 0.990384
1548265397.55242 0.627435 -1.61906 1.92096 -0.102212 -0.0779785 -0.050714 0.990404
1548265397.58570 0.627402 -1.62144 1.91529 -0.0989445 -0.0766046 -0.0523898 0.990756
1548265397.61911 0.627842 -1.62405 1.90947 -0.0917012 -0.0760664 -0.0487742 0.991678
1548265397.65235 0.628157 -1.62725 1.90349 -0.0873175 -0.0731255 -0.0493093 0.992269
1548265397.68520 0.628476 -1.6297 1.89711 -0.0804257 -0.0726935 -0.0508146 0.992807
1548265397.71902 0.629066 -1.631 1.89099 -0.0764326 -0.072237 -0.0496434 0.993215
1548265397.75212 0.627868 -1.63077 1.88467 -0.0749626 -0.0739398 -0.0446867 0.993437
1548265397.78573 0.625985 -1.62966 1.87872 -0.0735724 -0.0742751 -0.0448817 0.993507
1548265397.81904 0.624572 -1.62754 1.87323 -0.0790799 -0.0742476 -0.0419036 0.993216
