# ground truth trajectory
# timestamp tx ty tz qx qy qz qw
1548339594.66103 0.405651 -1.33654 1.33724 0.114288 0.0691369 -0.298359 -0.945061
1548339594.69452 0.406367 -1.33759 1.34085 0.112927 0.0696127 -0.29806 -0.945284
1548339594.72786 0.407132 -1.33897 1.34426 0.112269 0.0709723 -0.296287 -0.945818
1548339594.76109 0.407996 -1.34064 1.3475 0.112499 0.0709617 -0.295779 -0.945951
1548339594.79430 0.409301 -1.34341 1.35092 0.103477 0.0688041 -0.297033 -0.946747
1548339594.82772 0.410291 -1.34501 1.35327 0.107134 0.0721677 -0.293775 -0.947106
1548339594.86125 0.411327 -1.34746 1.35611 0.105248 0.0705025 -0.290666 -0.948402
1548339594.89449 0.412753 -1.35031 1.35917 0.104397 0.0697542 -0.285614 -0.950084
1548339594.92790 0.413596 -1.3528 1.36244 0.102608 0.069223 -0.283533 -0.950941
1548339594.96122 0.414411 -1.35581 1.36619 0.0966994 0.0666902 -0.281637 -0.952304
1548339594.99405 0.414506 -1.35744 1.36915 0.100832 0.0684965 -0.278193 -0.952759
1548339595.02763 0.414155 -1.35917 1.37278 0.101604 0.0703189 -0.276553 -0.953022
1548339595.06092 0.414104 -1.36086 1.37671 0.0996658 0.0709742 -0.274668 -0.953723
1548339595.09435 0.41414 -1.3624 1.38069 0.100002 0.0697812 -0.27172 -0.954619
1548339595.12727 0.413492 -1.36363 1.38504 0.10236 0.07055 -0.267919 -0.955387
1548339595.16088 0.41296 -1.36457 1.38945 0.102551 0.0722647 -0.265828 -0.955823
1548339595.19420 0.412501 -1.36562 1.39417 0.102483 0.0713801 -0.264053 -0.956388
1548339595.22771 0.411222 -1.36589 1.39865 0.106728 0.0746556 -0.26099 -0.956515
1548339595.26101 0.410323 -1.36794 1.40379 0.104112 0.0713234 -0.262181 -0.956731
1548339595.29438 0.409524 -1.36851 1.40907 0.101788 0.0740123 -0.262905 -0.956578
1548339595.32776 0.408683 -1.36947 1.41401 0.105448 0.0754763 -0.256637 -0.957769
1548339595.36108 0.40816 -1.37156 1.41974 0.0992989 0.074098 -0.259579 -0.957741
1548339595.39464 0.407522 -1.37292 1.42473 0.0986332 0.0742504 -0.258914 -0.957978
1548339595.42769 0.407114 -1.37484 1.42932 0.0960341 0.0736052 -0.256683 -0.958892
1548339595.46121 0.406195 -1.37674 1.43377 0.0923267 0.0744797 -0.257438 -0.958986
1548339595.49463 0.404389 -1.37775 1.438 0.0914654 0.076613 -0.258774 -0.958541
1548339595.52790 0.403091 -1.37918 1.44215 0.0884921 0.0770647 -0.256224 -0.959468
1548339595.56135 0.401809 -1.38074 1.44628 0.0858172 0.0777682 -0.253439 -0.960394
1548339595.59469 0.400574 -1.38215 1.45046 0.0821701 0.0790018 -0.25416 -0.960422
1548339595.62774 0.399747 -1.38342 1.45464 0.0737587 0.0797415 -0.257855 -0.960058
1548339595.66115 0.399358 -1.38434 1.45813 0.0737208 0.0796159 -0.254848 -0.960874
1548339595.69455 0.398945 -1.38555 1.46169 0.0705987 0.0793159 -0.254122 -0.961326
1548339595.72780 0.398404 -1.38708 1.46555 0.0627562 0.0797337 -0.257672 -0.96089
1548339595.76125 0.397786 -1.38807 1.46922 0.0583022 0.0799802 -0.258385 -0.960958
1548339595.79391 0.397312 -1.38901 1.47294 0.0543038 0.0791282 -0.257291 -0.961557
1548339595.82767 0.396425 -1.3897 1.47648 0.0529972 0.0796391 -0.258079 -0.961376
1548339595.86097 0.395207 -1.39046 1.48033 0.0497614 0.0823308 -0.256552 -0.961731
1548339595.89419 0.393757 -1.39093 1.48411 0.046909 0.0837184 -0.254247 -0.962366
1548339595.92754 0.392291 -1.39088 1.48738 0.051096 0.0862115 -0.252261 -0.962456
1548339595.96085 0.390898 -1.39194 1.49152 0.0444981 0.084963 -0.253776 -0.962496
1548339595.99434 0.389383 -1.39182 1.49493 0.0495781 0.0876422 -0.251346 -0.962645
1548339596.02758 0.388353 -1.39308 1.49911 0.0424368 0.0864504 -0.253774 -0.962457
1548339596.06102 0.386999 -1.39323 1.50275 0.048895 0.0883573 -0.252538 -0.962303
1548339596.09439 0.385905 -1.39442 1.50694 0.0470673 0.0881847 -0.252088 -0.962528
1548339596.12764 0.385097 -1.3958 1.51138 0.0434679 0.0846771 -0.249521 -0.96368
1548339596.16101 0.383601 -1.39659 1.51564 0.0454657 0.0855082 -0.24909 -0.963626
1548339596.19451 0.38142 -1.39706 1.52017 0.0467795 0.0869061 -0.248631 -0.963557
1548339596.22755 0.378249 -1.39703 1.5255 0.0494587 0.0888893 -0.246079 -0.963897
1548339596.26111 0.375011 -1.39654 1.53052 0.0572631 0.0917932 -0.244004 -0.96372
1548339596.29415 0.37233 -1.39646 1.53585 0.0606644 0.0940353 -0.242229 -0.963744
1548339596.32772 0.370236 -1.39598 1.5413 0.0645473 0.0932733 -0.245281 -0.962793
1548339596.36109 0.369018 -1.39611 1.5466 0.0659708 0.0940153 -0.243781 -0.963006
1548339596.39456 0.368058 -1.39603 1.55156 0.0698679 0.093331 -0.244181 -0.962696
1548339596.42781 0.367154 -1.3958 1.55641 0.0714091 0.0934512 -0.246303 -0.96203
1548339596.46119 0.366169 -1.39601 1.56106 0.0692378 0.0921569 -0.247508 -0.962005
1548339596.49450 0.364926 -1.3963 1.56507 0.073081 0.0908261 -0.245909 -0.962257
1548339596.52787 0.363027 -1.39664 1.56878 0.0734214 0.0927014 -0.244029 -0.962531
1548339596.56078 0.361606 -1.39708 1.57219 0.0746188 0.0904631 -0.242466 -0.963047
1548339596.59401 0.360346 -1.39788 1.57548 0.0746533 0.0900199 -0.241135 -0.96342
1548339596.62752 0.358897 -1.39921 1.57824 0.0760496 0.0875953 -0.243291 -0.962992
1548339596.66124 0.357115 -1.40117 1.58061 0.0770618 0.0870533 -0.241852 -0.963323
1548339596.69432 0.355023 -1.40346 1.58277 0.0812859 0.0866462 -0.2372 -0.964169
1548339596.72772 0.353272 -1.4064 1.58446 0.0808625 0.0865492 -0.230883 -0.965745
1548339596.76100 0.351606 -1.41036 1.58579 0.080452 0.0845271 -0.230688 -0.966005
1548339596.79440 0.350418 -1.41475 1.58567 0.0823445 0.0849122 -0.22774 -0.966511
1548339596.82755 0.350211 -1.41974 1.58452 0.0804826 0.0836717 -0.224267 -0.967588
1548339596.86101 0.350861 -1.42517 1.58232 0.07887 0.0830599 -0.220437 -0.968653
1548339596.89440 0.351994 -1.43077 1.57943 0.076043 0.0799636 -0.218148 -0.969657
1548339596.92778 0.353841 -1.43678 1.5761 0.0715217 0.0731446 -0.21956 -0.970221
1548339596.96117 0.35526 -1.4417 1.57234 0.0726798 0.0739335 -0.21475 -0.971151
1548339596.99450 0.356302 -1.44616 1.56837 0.0741072 0.0703908 -0.218089 -0.970562
1548339597.02790 0.356995 -1.4508 1.56473 0.0685799 0.0694614 -0.216743 -0.971336
