# ground truth trajectory
# timestamp tx ty tz qx qy qz qw
1548340301.96119 -0.267628 -1.60515 1.50542 0.22481 0.0568163 0.132715 -0.963649
1548340301.99457 -0.267846 -1.60497 1.50553 0.224174 0.0569154 0.13472 -0.963513
1548340302.02791 -0.267679 -1.60492 1.5056 0.224967 0.0571438 0.132783 -0.963584
1548340302.06115 -0.267649 -1.6048 1.50558 0.225257 0.057015 0.132648 -0.963542
1548340302.09461 -0.267878 -1.6045 1.50566 0.224742 0.0573094 0.13439 -0.963403
1548340302.12795 -0.267729 -1.60439 1.50591 0.225601 0.0571761 0.132683 -0.963447
1548340302.16115 -0.267507 -1.60439 1.50602 0.22563 0.0570957 0.132041 -0.963533
1548340302.19449 -0.267401 -1.6044 1.50605 0.225771 0.0568824 0.132065 -0.96351
1548340302.22797 -0.26746 -1.60425 1.50612 0.225825 0.0571318 0.131873 -0.963509
1548340302.26109 -0.26752 -1.60395 1.50617 0.226053 0.0576423 0.131519 -0.963473
1548340302.29443 -0.267421 -1.60374 1.50611 0.226314 0.057563 0.131673 -0.963396
1548340302.32780 -0.267176 -1.60358 1.50601 0.226442 0.0575161 0.131654 -0.963371
1548340302.36096 -0.266953 -1.60346 1.50595 0.226704 0.057363 0.131081 -0.963396
1548340302.39432 -0.266666 -1.60348 1.50584 0.226738 0.0569515 0.1309 -0.963438
1548340302.42767 -0.266532 -1.6036 1.50576 0.22683 0.0566613 0.130943 -0.963427
1548340302.46091 -0.266661 -1.60361 1.50586 0.226849 0.0568584 0.130975 -0.963407
1548340302.49440 -0.26671 -1.60347 1.50607 0.226922 0.0570648 0.130445 -0.963449
1548340302.52782 -0.266587 -1.60329 1.50615 0.227099 0.0571275 0.130448 -0.963403
1548340302.56101 -0.266496 -1.6032 1.50623 0.227455 0.0572369 0.130149 -0.963353
1548340302.59441 -0.266412 -1.60311 1.50637 0.22776 0.0573961 0.129988 -0.963293
1548340302.62772 -0.265983 -1.60328 1.50647 0.231291 0.0554736 0.126592 -0.963017
1548340302.66131 -0.265908 -1.60328 1.50634 0.229195 0.0568458 0.127995 -0.963253
1548340302.69461 -0.265922 -1.60328 1.5063 0.229275 0.0570596 0.128024 -0.963217
1548340302.72817 -0.265835 -1.6032 1.50627 0.22932 0.057368 0.127607 -0.963243
1548340302.76126 -0.265754 -1.60317 1.50621 0.229187 0.0574984 0.127478 -0.963284
1548340302.79451 -0.265717 -1.60328 1.50613 0.229025 0.0573631 0.12754 -0.963323
1548340302.82786 -0.265726 -1.60331 1.50614 0.228896 0.0574417 0.127049 -0.963414
1548340302.86123 -0.265767 -1.60329 1.50619 0.228707 0.0578788 0.126622 -0.963489
1548340302.89459 -0.265885 -1.6033 1.50618 0.228486 0.0580999 0.12667 -0.963521
1548340302.92788 -0.265973 -1.60342 1.50617 0.228322 0.0580952 0.126908 -0.963529
1548340302.96107 -0.266058 -1.6035 1.50617 0.227938 0.0583721 0.126653 -0.963637
1548340302.99454 -0.266193 -1.60353 1.5061 0.227819 0.0584669 0.126533 -0.963675
1548340303.02756 -0.266317 -1.60355 1.50599 0.227667 0.058649 0.126265 -0.963735
1548340303.06097 -0.266492 -1.6035 1.50591 0.227317 0.0587577 0.126391 -0.963795
1548340303.09435 -0.266796 -1.60327 1.50593 0.227231 0.0590424 0.126267 -0.963814
1548340303.12771 -0.267111 -1.60303 1.50603 0.227411 0.0592655 0.126033 -0.963788
1548340303.16094 -0.267305 -1.60282 1.50608 0.227368 0.0593266 0.126214 -0.963771
1548340303.19433 -0.267577 -1.60264 1.5061 0.227363 0.059485 0.126386 -0.96374
1548340303.22775 -0.267994 -1.60241 1.50615 0.227344 0.0599093 0.126531 -0.963699
1548340303.26118 -0.268352 -1.60215 1.50616 0.227291 0.0603356 0.126449 -0.963695
1548340303.29422 -0.26858 -1.60189 1.50609 0.227018 0.060737 0.1261 -0.96378
1548340303.32760 -0.268795 -1.60154 1.50603 0.227248 0.0604788 0.126383 -0.963706
1548340303.36092 -0.268994 -1.60126 1.50603 0.227321 0.0603067 0.126407 -0.963696
1548340303.39437 -0.269226 -1.60104 1.50609 0.227221 0.0601966 0.126586 -0.963703
1548340303.42758 -0.269531 -1.60067 1.50616 0.227339 0.0601004 0.126637 -0.963674
1548340303.46093 -0.269918 -1.6001 1.50624 0.227707 0.0603626 0.12656 -0.963581
1548340303.49458 -0.270138 -1.59966 1.50622 0.227943 0.060428 0.126668 -0.963507
1548340303.52793 -0.270273 -1.59939 1.50618 0.227809 0.0603591 0.127011 -0.963498
1548340303.56133 -0.270463 -1.59906 1.50628 0.227791 0.0602609 0.126952 -0.963516
1548340303.59461 -0.270659 -1.59857 1.50648 0.227961 0.0604145 0.126518 -0.963523
1548340303.62793 -0.270893 -1.59821 1.50662 0.228123 0.0602838 0.127033 -0.963425
1548340303.66114 -0.27114 -1.59798 1.50676 0.22824 0.0602382 0.127175 -0.963382
1548340303.69425 -0.271416 -1.59757 1.50692 0.229073 0.0599868 0.127202 -0.963196
1548340303.72764 -0.271633 -1.59729 1.50695 0.229305 0.060112 0.127465 -0.963098
1548340303.76120 -0.271779 -1.59724 1.50687 0.229145 0.0596038 0.128107 -0.963083
1548340303.79453 -0.271914 -1.59712 1.50685 0.228927 0.0594334 0.128065 -0.963151
1548340303.82795 -0.272164 -1.5967 1.50699 0.229204 0.0597195 0.128018 -0.963073
1548340303.86108 -0.27239 -1.59637 1.5071 0.229579 0.0600725 0.128108 -0.96295
1548340303.89444 -0.272551 -1.5962 1.5071 0.229807 0.0598819 0.128676 -0.962832
1548340303.92788 -0.272778 -1.59602 1.50714 0.230076 0.0602264 0.128555 -0.962762
1548340303.96114 -0.273024 -1.59578 1.50718 0.230275 0.0604523 0.128843 -0.962662
1548340303.99451 -0.273151 -1.59568 1.50719 0.230146 0.0607474 0.128888 -0.962669
1548340304.02783 -0.273228 -1.59564 1.5072 0.230067 0.0605035 0.128982 -0.96269
1548340304.06078 -0.273419 -1.5956 1.50726 0.229993 0.0605218 0.129028 -0.962701
1548340304.09437 -0.273663 -1.59565 1.50736 0.230069 0.0605712 0.12951 -0.962614
